id,task_id,worker_id
152,4478,150
153,7712,89
154,9655,127
155,1115,53
156,7286,16
157,3085,153
158,4953,144
159,2699,188
160,6547,5
161,2186,179
162,342,63
163,9005,70
164,2979,162
165,9937,78
166,5788,52
167,2773,153
168,4726,187
169,2368,185
170,4560,100
171,8518,100
172,5940,163
173,6280,28
174,9306,12
175,9694,59
176,2290,101
177,3095,67
178,2415,188
179,6018,40
180,9506,104
181,40,61
182,2022,12
183,2809,196
184,2547,122
185,493,151
186,1069,82
187,3687,127
188,7897,62
189,7341,61
190,1565,107
191,1228,169
192,7802,120
193,3158,195
194,5024,108
195,1162,54
196,7141,101
197,2165,183
198,1821,59
199,9379,193
200,767,9
201,7418,27
202,5877,77
203,1693,168
204,2817,136
205,6257,55
206,2306,27
207,4351,151
208,1605,38
209,4055,142
210,7142,183
211,1628,35
212,8153,174
213,882,50
214,5612,172
215,1852,140
216,915,36
217,958,45
218,6924,59
219,2507,172
220,4484,9
221,9147,107
222,5150,175
223,2752,135
224,1987,14
225,9786,122
226,7964,179
227,5889,145
228,9852,88
229,4185,89
230,3964,88
231,6320,172
232,3407,167
233,8479,194
234,4905,92
235,2035,175
236,6929,159
237,6943,151
238,9201,103
239,790,189
240,73,93
241,2291,13
242,5790,69
243,6621,98
244,9372,144
245,2420,177
246,7398,71
247,1171,64
248,1719,181
249,5667,193
250,6376,160
251,3329,191
252,7878,64
253,1700,75
254,5065,194
255,3055,41
256,5488,200
257,5554,80
258,2785,134
259,5266,159
260,7260,80
261,5459,4
262,3494,172
263,9911,169
264,8120,63
265,9682,52
266,4666,31
267,698,150
268,2474,12
269,2207,200
270,65,57
271,9404,5
272,4292,118
273,6457,45
274,2981,41
275,406,47
276,8208,88
277,4427,190
278,9787,179
279,8125,83
280,9299,170
281,1120,95
282,8355,157
283,8000,45
284,8781,152
285,513,10
286,4888,193
287,8158,36
288,6044,142
289,7420,96
290,237,7
291,9790,41
292,8131,181
293,129,9
294,7430,171
295,6844,105
296,706,47
297,9000,98
298,9188,32
299,2721,164
300,8294,111
301,2571,63
302,2059,112
303,6367,137
304,2367,63
305,3182,69
306,2943,24
307,5297,26
308,5439,126
309,8888,157
310,7228,136
311,1051,14
312,6615,131
313,6816,103
314,6988,85
315,256,120
316,1393,42
317,3874,128
318,7207,79
319,7703,191
320,8666,193
321,5986,5
322,5639,41
323,5010,14
324,2686,66
325,1987,8
326,7924,48
327,898,23
328,3606,12
329,8898,88
330,3380,59
331,9758,63
332,4342,47
333,465,34
334,7578,101
335,5275,26
336,815,187
337,8216,159
338,8459,5
339,2692,118
340,1513,167
341,4982,110
342,3879,166
343,4223,64
344,228,138
345,8813,149
346,1252,59
347,3849,45
348,47,199
349,8533,46
350,5601,112
351,6158,50
352,1072,16
353,2490,189
354,7793,144
355,6855,185
356,8981,17
357,532,155
358,8805,136
359,3731,20
360,7213,26
361,4560,156
362,8843,11
363,64,113
364,3964,64
365,450,73
366,3723,23
367,4344,152
368,9435,115
369,678,57
370,9344,73
371,7976,195
372,1141,45
373,1833,13
374,6411,135
375,6276,145
376,8660,5
377,4772,155
378,5978,55
379,8999,138
380,401,51
381,4600,34
382,3535,81
383,5333,189
384,6538,87
385,4607,137
386,7955,33
387,2755,80
388,3091,23
389,1025,17
390,5253,10
391,8109,8
392,2597,54
393,7320,89
394,3384,7
395,2884,192
396,3386,135
397,6511,110
398,1770,155
399,4471,154
400,5846,159
401,9292,21
402,7384,1
403,5751,44
404,5279,67
405,7755,87
406,2902,96
407,2446,43
408,2305,184
409,3662,42
410,2315,147
411,2783,138
412,6898,120
413,6311,191
414,9728,133
415,7062,21
416,3362,34
417,3713,55
418,2758,142
419,2996,32
420,6527,80
421,9998,148
422,276,88
423,4814,26
424,6836,62
425,7497,22
426,7017,170
427,6406,167
428,2992,19
429,178,107
430,154,129
431,1782,132
432,2865,13
433,149,184
434,5576,184
435,6575,97
436,4119,172
437,5215,148
438,6972,30
439,3727,197
440,1867,180
441,5351,79
442,7150,86
443,3040,19
444,3461,52
445,451,159
446,8814,47
447,5605,148
448,547,173
449,6514,78
450,762,33
451,3183,66
452,8312,181
453,3195,11
454,4771,108
455,2770,127
456,5643,127
457,4710,16
458,3812,27
459,8595,87
460,3710,34
461,4915,57
462,4547,91
463,7764,171
464,4885,164
465,9244,124
466,5246,133
467,984,109
468,5739,109
469,2404,89
470,775,121
471,4697,83
472,6312,58
473,4231,93
474,8668,94
475,1176,182
476,4015,28
477,4917,65
478,3784,71
479,6233,165
480,5475,68
481,5561,57
482,6578,161
483,2306,38
484,8233,81
485,5947,27
486,3843,10
487,7747,155
488,565,16
489,4937,79
490,2707,174
491,7742,133
492,8858,148
493,3705,92
494,7226,103
495,3080,159
496,2338,20
497,8844,79
498,3030,165
499,8327,78
500,3979,135
501,6631,36
502,8195,176
503,7290,176
504,3559,148
505,2188,33
506,6242,21
507,783,58
508,3285,154
509,4380,76
510,4473,190
511,576,17
512,4573,77
513,2794,144
514,1187,64
515,9359,17
516,6384,172
517,2795,184
518,4622,29
519,5317,86
520,3544,9
521,3431,157
522,2284,189
523,3168,195
524,796,187
525,3985,168
526,3837,109
527,6517,164
528,544,110
529,6238,11
530,8938,107
531,6125,102
532,6825,113
533,9455,60
534,4000,84
535,4674,107
536,513,23
537,6456,129
538,9690,196
539,5367,85
540,2885,7
541,3372,22
542,4407,9
543,2520,59
544,2393,15
545,7125,158
546,7059,85
547,9100,89
548,9280,26
549,8254,141
550,3453,163
551,1778,117
552,8489,178
553,9425,141
554,6819,133
555,1259,15
556,1398,149
557,9419,115
558,9967,32
559,3041,12
560,754,101
561,3749,67
562,7764,114
563,4599,153
564,1494,187
565,1954,107
566,5388,94
567,205,156
568,1619,129
569,1948,9
570,6389,54
571,6642,68
572,574,75
573,3149,173
574,6346,135
575,9321,46
576,2610,82
577,5103,174
578,718,154
579,4029,34
580,8648,109
581,8370,137
582,6314,150
583,9282,112
584,4516,61
585,2538,132
586,3401,89
587,7237,167
588,1391,191
589,889,71
590,5629,164
591,1312,144
592,8207,187
593,3847,144
594,2826,44
595,3781,32
596,8252,32
597,6078,98
598,8757,16
599,2290,43
600,5478,154
601,5902,128
602,4584,144
603,2204,93
604,4354,141
605,2915,28
606,5964,166
607,7130,18
608,9933,174
609,7935,65
610,7161,7
611,3572,60
612,805,77
613,5941,28
614,6419,97
615,417,168
616,3101,3
617,6255,100
618,7830,19
619,3531,60
620,9219,70
621,7539,122
622,2153,88
623,1316,156
624,1897,183
625,1104,64
626,8300,27
627,8917,108
628,5114,8
629,2420,103
630,6547,63
631,6869,57
632,634,46
633,2879,123
634,9560,115
635,690,91
636,1383,82
637,5435,95
638,7476,63
639,8502,77
640,5109,20
641,1527,36
642,3597,190
643,6393,65
644,8924,30
645,3876,28
646,855,92
647,8975,98
648,2133,137
649,1703,98
650,2829,95
651,8679,10
652,8417,135
653,7891,59
654,3607,27
655,7973,36
656,7194,52
657,5054,156
658,7542,181
659,5090,144
660,8767,62
661,3966,188
662,9096,63
663,3003,31
664,2048,91
665,5710,35
666,3404,143
667,8920,94
668,7830,80
669,7715,102
670,5448,151
671,9115,172
672,3519,168
673,9102,188
674,8533,9
675,1031,76
676,7426,79
677,2175,82
678,7856,25
679,1719,161
680,5395,172
681,9920,67
682,4192,138
683,5267,73
684,2850,41
685,1038,45
686,2484,22
687,6073,197
688,5823,171
689,2848,113
690,8918,152
691,9796,86
692,8585,139
693,699,154
694,8936,51
695,7708,186
696,6627,85
697,9837,17
698,423,38
699,777,41
700,6804,169
701,8368,72
702,7158,47
703,6011,182
704,8846,183
705,9254,80
706,4209,36
707,7453,146
708,4869,196
709,814,40
710,3766,171
711,3632,15
712,6446,176
713,4002,113
714,3088,3
715,3589,57
716,420,91
717,3894,1
718,1288,17
719,4430,98
720,1659,154
721,2039,140
722,9973,200
723,1359,49
724,9386,11
725,3550,66
726,1195,64
727,8733,115
728,124,71
729,6816,91
730,2259,188
731,7275,56
732,6435,26
733,7704,173
734,2162,63
735,1821,59
736,6804,194
737,9302,54
738,8253,42
739,7107,148
740,531,185
741,3652,160
742,4713,64
743,28,173
744,9346,140
745,2227,135
746,9787,193
747,1945,178
748,4375,27
749,2704,153
750,1259,94
751,7784,106
752,7342,146
753,7029,43
754,3584,175
755,6543,66
756,7812,178
757,4647,81
758,6313,39
759,6383,41
760,1259,109
761,7066,150
762,449,58
763,55,115
764,9192,120
765,9477,65
766,8184,177
767,9549,77
768,9793,77
769,2497,162
770,9048,129
771,7378,196
772,3684,165
773,2158,137
774,6846,139
775,8835,81
776,842,154
777,7910,150
778,8463,41
779,543,196
780,8300,152
781,1543,187
782,5399,69
783,8932,101
784,5244,155
785,1060,187
786,7686,88
787,9997,175
788,2849,195
789,1417,18
790,6418,91
791,4387,97
792,9403,56
793,4309,71
794,7313,165
795,3248,79
796,1214,116
797,1086,42
798,9079,87
799,1472,143
800,7022,10
801,5083,59
802,1203,16
803,1475,145
804,5945,33
805,3509,107
806,5101,153
807,7869,180
808,8899,67
809,6510,66
810,1047,70
811,175,20
812,7052,123
813,4147,66
814,5683,165
815,3699,183
816,6963,165
817,7412,71
818,5269,143
819,1386,44
820,4464,5
821,7736,134
822,1219,79
823,5624,116
824,5444,162
825,5699,66
826,703,72
827,3873,193
828,9818,164
829,7989,114
830,5530,168
831,7562,185
832,9190,35
833,6587,41
834,4624,8
835,3568,193
836,1114,137
837,9104,94
838,8511,32
839,3093,176
840,3181,9
841,914,187
842,7654,197
843,7630,181
844,6166,138
845,2889,141
846,8435,35
847,2562,51
848,8524,121
849,7424,86
850,4993,130
851,8727,105
852,9567,200
853,6877,173
854,3199,51
855,6190,72
856,8348,167
857,2645,17
858,8733,105
859,9791,131
860,1453,200
861,2889,40
862,9983,78
863,9626,21
864,3029,140
865,6611,189
866,569,181
867,7869,140
868,547,11
869,2937,189
870,5808,58
871,1244,55
872,6341,128
873,9437,187
874,8996,10
875,1291,150
876,6247,148
877,7464,80
878,1374,152
879,5700,63
880,2122,131
881,9313,138
882,4752,31
883,7299,18
884,5834,200
885,1335,6
886,3810,159
887,2782,114
888,898,113
889,7183,127
890,9401,127
891,5811,118
892,26,35
893,3054,160
894,7225,142
895,5898,61
896,4586,19
897,710,24
898,6722,42
899,2352,113
900,5351,37
901,1701,41
902,1560,78
903,7852,188
904,6567,38
905,3663,167
906,1374,172
907,1953,140
908,2699,134
909,9918,99
910,1411,153
911,1440,132
912,3397,189
913,7308,64
914,6857,145
915,1301,101
916,857,186
917,3561,95
918,2002,21
919,8137,187
920,8585,37
921,3065,103
922,546,24
923,6029,186
924,7627,43
925,1624,139
926,3298,192
927,6709,74
928,5895,122
929,35,112
930,8321,172
931,9223,118
932,5479,25
933,9085,82
934,3124,119
935,9547,85
936,1513,172
937,8573,148
938,6286,120
939,5515,38
940,1062,41
941,7225,148
942,7583,112
943,5227,185
944,5276,1
945,2519,101
946,8604,151
947,1013,3
948,9663,65
949,3040,98
950,9992,91
951,2155,58
952,686,65
953,5298,161
954,3340,150
955,8546,163
956,5297,92
957,5330,12
958,6616,80
959,126,111
960,4071,46
961,2721,115
962,1518,95
963,2898,5
964,6634,178
965,3354,114
966,1292,14
967,4218,184
968,8060,34
969,8549,103
970,3433,48
971,9336,3
972,2703,4
973,8346,70
974,3140,104
975,8558,131
976,4798,175
977,4689,168
978,6502,192
979,9499,137
980,9840,149
981,4843,24
982,6325,126
983,862,75
984,4520,86
985,4637,88
986,5994,64
987,4873,98
988,8997,64
989,5349,17
990,3446,156
991,1221,122
992,9546,137
993,4805,130
994,4844,48
995,2714,68
996,4015,109
997,7421,127
998,2074,153
999,3751,197
1000,9063,40
1001,4763,153
1002,5867,96
1003,8101,27
1004,4523,125
1005,6288,172
1006,3787,189
1007,9545,139
1008,628,185
1009,1283,40
1010,2480,166
1011,6479,30
1012,1073,124
1013,7880,62
1014,2127,70
1015,3136,47
1016,5618,89
1017,6689,193
1018,5031,152
1019,67,93
1020,3551,33
1021,4924,92
1022,7642,65
1023,4156,7
1024,3774,151
1025,1768,46
1026,3016,106
1027,5085,107
1028,6251,80
1029,1246,41
1030,1265,7
1031,8434,76
1032,110,66
1033,7772,91
1034,4849,65
1035,6605,158
1036,7668,97
1037,1876,69
1038,332,58
1039,8651,11
1040,9068,8
1041,5229,107
1042,5977,69
1043,8804,76
1044,5058,176
1045,6078,73
1046,2533,87
1047,8696,80
1048,2378,146
1049,1494,34
1050,7711,29
1051,9416,160
1052,2464,176
1053,8654,3
1054,2928,3
1055,803,42
1056,6564,184
1057,3038,168
1058,328,170
1059,5097,148
1060,6471,158
1061,9737,50
1062,3093,175
1063,3581,23
1064,2867,20
1065,9801,149
1066,5305,164
1067,2345,186
1068,4348,168
1069,6493,151
1070,8896,148
1071,5083,81
1072,7126,30
1073,7886,187
1074,5964,136
1075,7797,50
1076,4061,10
1077,6748,196
1078,3998,34
1079,42,86
1080,3563,56
1081,3063,119
1082,1468,184
1083,9813,169
1084,2046,144
1085,8916,23
1086,6987,13
1087,2389,9
1088,9587,71
1089,8028,81
1090,5877,20
1091,1726,77
1092,6528,44
1093,4187,196
1094,2102,111
1095,3146,149
1096,2060,16
1097,7541,152
1098,6402,10
1099,4714,180
1100,3070,81
1101,9432,67
1102,5283,51
1103,7940,28
1104,3297,172
1105,3262,52
1106,5889,194
1107,7886,160
1108,795,199
1109,451,61
1110,4481,113
1111,2243,63
1112,2527,120
1113,4766,190
1114,4308,39
1115,3537,22
1116,5051,56
1117,2451,23
1118,9249,128
1119,5871,182
1120,344,132
1121,5839,17
1122,4029,43
1123,9046,120
1124,9555,195
1125,1655,196
1126,9126,190
1127,3914,73
1128,4943,149
1129,9358,105
1130,4560,6
1131,4170,107
1132,787,64
1133,3615,185
1134,8491,144
1135,5661,60
1136,8021,1
1137,2916,69
1138,7815,92
1139,4599,108
1140,4915,49
1141,5086,10
1142,5709,149
1143,7458,166
1144,2125,77
1145,4216,48
1146,6925,75
1147,5568,47
1148,453,19
1149,5898,121
1150,8345,6
1151,4205,148
1152,8302,146
1153,6971,18
1154,4823,174
1155,870,37
1156,8302,171
1157,7488,138
1158,4555,22
1159,4448,178
1160,2463,12
1161,3999,123
1162,5050,148
1163,1808,157
1164,373,198
1165,7197,115
1166,4325,67
1167,5323,117
1168,7764,34
1169,3927,55
1170,7289,116
1171,9682,34
1172,7666,58
1173,4578,22
1174,2832,20
1175,2096,193
1176,3478,16
1177,8350,146
1178,4717,98
1179,8555,164
1180,3815,91
1181,53,188
1182,6188,8
1183,178,44
1184,3509,63
1185,6191,179
1186,595,109
1187,5709,105
1188,4149,91
1189,9995,143
1190,9535,32
1191,4854,100
1192,3518,6
1193,8074,170
1194,2393,38
1195,6163,195
1196,5787,185
1197,4759,27
1198,4955,181
1199,9253,36
1200,6257,147
1201,6,117
1202,440,140
1203,6994,110
1204,6172,147
1205,3949,112
1206,7070,32
1207,2923,66
1208,9002,37
1209,8497,167
1210,8694,195
1211,4256,179
1212,8393,157
1213,4950,118
1214,767,9
1215,2425,131
1216,1466,115
1217,7795,53
1218,1622,145
1219,9731,109
1220,3862,85
1221,2719,157
1222,7616,39
1223,4208,95
1224,7153,115
1225,1596,151
1226,3671,23
1227,5835,19
1228,1460,174
1229,3752,199
1230,5801,10
1231,1183,144
1232,836,18
1233,7209,99
1234,1409,112
1235,1571,139
1236,4147,8
1237,874,195
1238,558,180
1239,6906,23
1240,3490,46
1241,2366,15
1242,7201,188
1243,1965,67
1244,5682,10
1245,4865,17
1246,8042,21
1247,8558,96
1248,5293,141
1249,1145,139
1250,6960,84
1251,6059,74
1252,6099,41
1253,1362,42
1254,2977,90
1255,3173,158
1256,844,96
1257,3971,138
1258,3135,75
1259,5790,128
1260,714,110
1261,9373,88
1262,1238,125
1263,9006,179
1264,3677,69
1265,5669,64
1266,5025,186
1267,1201,190
1268,6585,191
1269,8065,43
1270,4618,50
1271,3182,126
1272,594,150
1273,2940,191
1274,7021,99
1275,4917,77
1276,5649,57
1277,8151,78
1278,3970,192
1279,1157,116
1280,3427,45
1281,3594,179
1282,7950,151
1283,3604,46
1284,237,121
1285,4196,10
1286,6168,180
1287,4547,124
1288,3429,59
1289,6438,88
1290,6614,30
1291,227,167
1292,7403,65
1293,1715,13
1294,7468,49
1295,9729,199
1296,724,81
1297,9296,192
1298,1825,123
1299,9547,165
1300,4117,146
1301,5773,187
1302,7021,189
1303,4773,185
1304,1406,146
1305,3373,21
1306,6658,70
1307,6272,112
1308,6593,121
1309,5003,91
1310,5684,168
1311,194,109
1312,8876,144
1313,915,25
1314,8918,113
1315,8437,131
1316,1678,64
1317,4475,139
1318,1881,153
1319,2948,105
1320,9989,6
1321,1737,134
1322,9608,26
1323,3299,16
1324,6842,37
1325,274,98
1326,9378,27
1327,6519,135
1328,4510,124
1329,2120,147
1330,8462,174
1331,3302,199
1332,161,182
1333,1897,165
1334,4094,137
1335,7829,120
1336,9833,172
1337,4651,63
1338,3998,123
1339,1291,46
1340,3708,43
1341,4868,160
1342,8550,99
1343,2445,19
1344,1921,151
1345,5386,38
1346,3414,151
1347,7521,119
1348,8599,138
1349,8601,73
1350,5322,69
1351,6054,65
1352,1094,90
1353,6950,50
1354,4417,166
1355,8771,96
1356,8148,29
1357,1929,107
1358,9696,194
1359,5821,95
1360,2711,142
1361,7675,84
1362,615,61
1363,6600,85
1364,3552,12
1365,9315,169
1366,1237,45
1367,4788,14
1368,8087,116
1369,8025,194
1370,5873,120
1371,74,24
1372,8001,87
1373,1812,127
1374,3467,116
1375,8263,190
1376,4713,2
1377,8609,165
1378,8261,81
1379,5129,31
1380,8704,89
1381,5300,88
1382,7139,115
1383,9828,110
1384,3000,58
1385,5214,194
1386,6914,118
1387,5530,113
1388,4961,60
1389,150,24
1390,909,142
1391,1419,48
1392,8651,165
1393,6503,4
1394,9852,186
1395,5773,173
1396,4700,110
1397,1200,179
1398,3671,157
1399,6500,158
1400,4479,80
1401,505,140
1402,7431,117
1403,2693,155
1404,6363,192
1405,4295,153
1406,850,23
1407,5455,70
1408,4253,87
1409,8634,198
1410,9715,143
1411,6074,67
1412,6582,161
1413,4396,49
1414,6818,198
1415,2441,37
1416,1688,142
1417,2278,199
1418,4747,1
1419,3743,133
1420,1456,166
1421,9245,51
1422,620,15
1423,4025,12
1424,6151,175
1425,7063,18
1426,8934,31
1427,5180,129
1428,8837,35
1429,62,126
1430,8953,185
1431,1379,56
1432,9606,68
1433,6812,94
1434,1431,90
1435,3933,3
1436,870,79
1437,5658,32
1438,4847,11
1439,692,33
1440,4181,192
1441,4046,147
1442,9237,91
1443,839,130
1444,4707,77
1445,8520,197
1446,7396,136
1447,6069,128
1448,5828,120
1449,6308,75
1450,6130,190
1451,8375,153
1452,2524,119
1453,273,186
1454,1881,110
1455,7296,40
1456,2269,22
1457,2093,17
1458,8050,117
1459,4389,190
1460,9642,50
1461,8116,169
1462,7667,167
1463,5518,107
1464,9411,57
1465,3498,89
1466,7988,97
1467,2630,31
1468,4974,18
1469,3016,119
1470,2390,172
1471,3959,182
1472,6344,29
1473,9911,138
1474,7666,51
1475,7973,41
1476,2161,64
1477,5604,55
1478,2073,12
1479,9706,106
1480,5643,199
1481,1872,56
1482,3812,13
1483,1930,163
1484,3302,45
1485,5176,114
1486,2502,142
1487,642,118
1488,1207,95
1489,6803,152
1490,17,59
1491,7175,38
1492,6885,62
1493,1304,22
1494,599,97
1495,9676,77
1496,3897,26
1497,8884,33
1498,3920,176
1499,3245,116
1500,9918,87
1501,798,9
1502,998,107
1503,8128,127
1504,3727,5
1505,2356,83
1506,521,77
1507,4161,129
1508,9752,30
1509,780,176
1510,6109,44
1511,2901,151
1512,6192,145
1513,7825,164
1514,2456,42
1515,1466,193
1516,3720,93
1517,9316,144
1518,3300,47
1519,2771,32
1520,178,103
1521,3878,165
1522,698,10
1523,5852,172
1524,2043,27
1525,2148,197
1526,8124,137
1527,7191,40
1528,3653,163
1529,8823,192
1530,6565,5
1531,371,170
1532,9292,87
1533,7571,47
1534,5497,182
1535,731,69
1536,5628,4
1537,4999,167
1538,1300,127
1539,9785,101
1540,4878,150
1541,6492,61
1542,5909,86
1543,8062,47
1544,4205,123
1545,1086,175
1546,2967,129
1547,3456,125
1548,6076,184
1549,6529,171
1550,6209,62
1551,7536,62
1552,631,149
1553,3360,175
1554,1526,135
1555,111,184
1556,8700,81
1557,9797,156
1558,6785,14
1559,2556,36
1560,6857,110
1561,4149,119
1562,6403,184
1563,5923,80
1564,3597,26
1565,9979,23
1566,4435,160
1567,7426,33
1568,7115,115
1569,8536,100
1570,6339,138
1571,9158,156
1572,3568,194
1573,4749,140
1574,9273,13
1575,7239,5
1576,2580,81
1577,6808,175
1578,4255,46
1579,8544,134
1580,6224,46
1581,4005,196
1582,8160,188
1583,4301,91
1584,4762,107
1585,1308,157
1586,1065,98
1587,9832,87
1588,1775,34
1589,2388,135
1590,9005,79
1591,8828,185
1592,5931,135
1593,5137,198
1594,4175,40
1595,1153,181
1596,501,1
1597,7978,168
1598,8616,3
1599,2067,6
1600,195,145
1601,2188,46
1602,5301,107
1603,1039,64
1604,3941,174
1605,7468,85
1606,8959,89
1607,8421,19
1608,8645,137
1609,494,24
1610,4158,39
1611,1103,193
1612,7466,165
1613,3838,189
1614,3586,106
1615,4978,84
1616,8511,26
1617,788,22
1618,6520,5
1619,6301,114
1620,8580,136
1621,9692,80
1622,9750,16
1623,9682,87
1624,6830,42
1625,5963,111
1626,6576,173
1627,4833,189
1628,3762,181
1629,1566,170
1630,9713,179
1631,5925,116
1632,6080,30
1633,3750,47
1634,1647,80
1635,9591,21
1636,7560,55
1637,1416,35
1638,7782,152
1639,3099,96
1640,1175,100
1641,7760,84
1642,3261,99
1643,5226,82
1644,9141,101
1645,8022,160
1646,8027,47
1647,9391,76
1648,2944,128
1649,516,154
1650,6463,174
1651,6258,148
1652,3470,94
1653,9498,33
1654,3543,139
1655,8013,73
1656,1244,199
1657,6675,181
1658,6857,93
1659,1541,109
1660,931,60
1661,4177,151
1662,941,37
1663,9854,126
1664,9596,48
1665,7332,81
1666,3761,76
1667,4318,37
1668,5283,12
1669,3046,161
1670,8938,169
1671,9529,158
1672,713,128
1673,1659,27
1674,5123,10
1675,3,62
1676,7188,117
1677,2754,164
1678,2454,117
1679,1858,182
1680,5880,172
1681,4362,57
1682,8739,137
1683,4834,124
1684,5227,67
1685,3497,98
1686,2504,115
1687,9264,61
1688,3211,39
1689,4727,68
1690,9451,157
1691,5809,176
1692,3495,3
1693,8040,184
1694,7289,140
1695,9342,140
1696,1043,61
1697,9548,56
1698,5873,174
1699,1487,63
1700,8727,12
1701,6124,75
1702,5235,150
1703,9927,146
1704,5573,95
1705,5058,182
1706,6293,194
1707,6306,92
1708,4486,161
1709,2833,78
1710,2538,185
1711,3562,97
1712,7839,144
1713,522,181
1714,1303,12
1715,4643,98
1716,5779,16
1717,6282,30
1718,4045,153
1719,8125,88
1720,2751,77
1721,8762,125
1722,9704,22
1723,928,158
1724,7885,97
1725,964,10
1726,9655,82
1727,150,84
1728,1414,123
1729,9736,178
1730,3680,175
1731,2862,14
1732,5760,150
1733,6329,188
1734,2569,72
1735,9160,141
1736,5436,101
1737,6057,106
1738,7019,187
1739,5575,131
1740,8669,168
1741,3420,11
1742,1897,90
1743,5358,18
1744,5557,146
1745,9904,37
1746,6948,76
1747,1031,94
1748,4323,33
1749,6793,2
1750,7560,71
1751,3016,73
1752,8824,58
1753,2105,89
1754,4146,93
1755,8926,58
1756,393,172
1757,7014,59
1758,8117,126
1759,9228,178
1760,8004,47
1761,7283,162
1762,8410,154
1763,6825,157
1764,3936,78
1765,4938,62
1766,7187,146
1767,9484,62
1768,5929,2
1769,5996,188
1770,5099,31
1771,1382,146
1772,4984,176
1773,701,157
1774,9356,27
1775,5792,114
1776,3685,137
1777,9004,29
1778,8986,169
1779,5077,73
1780,3031,181
1781,7308,165
1782,6980,108
1783,783,34
1784,2497,109
1785,6274,95
1786,7733,16
1787,7124,82
1788,296,110
1789,5616,73
1790,8645,137
1791,5859,176
1792,4206,198
1793,8446,144
1794,7876,114
1795,2497,36
1796,1749,147
1797,215,72
1798,492,66
1799,477,85
1800,5622,97
1801,9274,12
1802,380,114
1803,8091,115
1804,5742,184
1805,293,157
1806,2994,141
1807,1744,86
1808,8654,15
1809,9474,69
1810,438,86
1811,1643,16
1812,5149,105
1813,9846,14
1814,8970,31
1815,4131,95
1816,30,7
1817,7848,141
1818,7441,115
1819,9679,90
1820,8036,171
1821,1654,26
1822,2407,116
1823,7179,40
1824,3352,108
1825,9673,104
1826,1496,6
1827,2016,185
1828,3507,196
1829,8332,118
1830,6581,156
1831,9838,147
1832,8658,45
1833,8664,184
1834,9798,93
1835,7662,15
1836,7226,118
1837,5452,60
1838,542,193
1839,7849,36
1840,1576,93
1841,1097,2
1842,3545,84
1843,3856,56
1844,2621,74
1845,3981,161
1846,1904,6
1847,5243,89
1848,8848,1
1849,3967,162
1850,5639,95
1851,3680,86
1852,1265,166
1853,7662,40
1854,79,130
1855,5239,113
1856,7233,4
1857,6453,11
1858,8544,109
1859,2834,176
1860,725,70
1861,6325,122
1862,8447,156
1863,8830,65
1864,9812,119
1865,8334,16
1866,5272,68
1867,6221,121
1868,6867,180
1869,2941,7
1870,9931,156
1871,6414,53
1872,3167,143
1873,8777,72
1874,3305,122
1875,1507,128
1876,457,194
1877,1904,21
1878,6272,114
1879,6840,98
1880,5297,58
1881,4511,161
1882,4049,43
1883,1600,25
1884,6216,148
1885,2107,62
1886,4326,100
1887,6730,169
1888,4736,65
1889,761,102
1890,7982,111
1891,4838,55
1892,4532,61
1893,4146,126
1894,2146,158
