id,name,description,price,begin_dttm,end_dttm,location,user_id,category_id,status_id,type_of_payment_id
45,Task #45,Task #45 description,75313,2017-08-19 23:26:37,2018-06-23 03:02:59,\N,130,16,5,4
46,Task #46,Task #46 description,17515,2017-07-21 08:32:32,2018-02-09 22:23:07,\N,49,11,2,4
47,Task #47,Task #47 description,93216,2018-04-27 15:52:22,2018-07-09 20:12:23,\N,175,14,2,1
48,Task #48,Task #48 description,67330,2018-06-18 03:20:53,2018-06-24 11:39:14,\N,14,18,4,4
49,Task #49,Task #49 description,20096,2018-04-19 20:20:03,2018-04-30 06:06:27,\N,97,6,3,4
50,Task #50,Task #50 description,14910,2017-12-16 12:14:37,2018-09-30 14:43:04,\N,193,3,3,1
51,Task #51,Task #51 description,80628,2018-03-20 11:15:16,2018-04-28 00:03:24,\N,183,20,5,4
52,Task #52,Task #52 description,93621,2017-06-07 06:17:32,2017-06-11 22:29:21,\N,58,2,2,4
53,Task #53,Task #53 description,48642,2018-05-08 13:57:33,2018-08-02 19:12:23,\N,28,7,1,3
54,Task #54,Task #54 description,77838,2017-06-20 06:30:50,2018-05-20 23:26:15,\N,51,17,1,5
55,Task #55,Task #55 description,74856,2017-10-19 20:22:57,2018-04-15 15:47:14,\N,83,11,4,4
56,Task #56,Task #56 description,46845,2017-08-07 18:35:54,2018-06-24 00:04:06,\N,73,1,3,5
57,Task #57,Task #57 description,86549,2017-12-08 17:22:19,2018-06-26 18:31:17,\N,8,10,5,2
58,Task #58,Task #58 description,82150,2018-02-15 13:39:01,2018-05-11 21:13:41,\N,113,7,5,5
59,Task #59,Task #59 description,24897,2018-03-11 17:16:22,2018-05-05 12:56:44,\N,36,7,1,3
60,Task #60,Task #60 description,43805,2017-12-07 06:12:41,2018-02-23 11:34:43,\N,104,16,4,2
61,Task #61,Task #61 description,75732,2018-05-18 09:37:13,2018-09-25 01:24:34,\N,70,6,4,4
62,Task #62,Task #62 description,43221,2017-11-29 12:01:01,2018-04-19 08:48:08,\N,99,11,4,5
63,Task #63,Task #63 description,26496,2017-11-29 02:54:32,2018-04-02 12:42:28,\N,170,9,3,1
64,Task #64,Task #64 description,90520,2017-12-05 06:45:00,2018-06-29 06:30:15,\N,24,18,4,3
65,Task #65,Task #65 description,33931,2018-08-29 17:26:08,2018-09-11 14:26:05,\N,170,12,4,5
66,Task #66,Task #66 description,21442,2018-01-24 06:22:30,2018-05-31 19:59:46,\N,142,15,1,4
67,Task #67,Task #67 description,7938,2017-06-24 19:24:56,2018-06-25 23:18:03,\N,171,18,2,3
68,Task #68,Task #68 description,78201,2017-06-02 04:21:44,2018-06-02 17:49:40,\N,156,8,2,4
69,Task #69,Task #69 description,26121,2018-08-22 04:56:12,2018-09-14 12:10:51,\N,17,4,3,1
70,Task #70,Task #70 description,63260,2018-03-14 23:33:48,2018-03-20 15:44:57,\N,103,20,5,1
71,Task #71,Task #71 description,32317,2018-07-20 19:49:33,2018-08-27 13:51:19,\N,140,6,3,2
72,Task #72,Task #72 description,3936,2018-09-11 05:07:43,2018-09-22 02:33:37,\N,28,9,2,5
73,Task #73,Task #73 description,16771,2018-04-26 12:31:55,2018-08-27 13:11:51,\N,25,8,2,3
74,Task #74,Task #74 description,33358,2018-09-30 22:37:43,2018-09-30 23:27:51,\N,89,19,3,2
75,Task #75,Task #75 description,36247,2018-02-09 18:42:34,2018-05-30 12:00:51,\N,193,2,5,5
76,Task #76,Task #76 description,74968,2017-11-22 12:53:24,2018-02-22 21:31:02,\N,82,7,3,1
77,Task #77,Task #77 description,69512,2017-07-01 14:16:28,2018-09-23 14:23:36,\N,136,8,4,3
78,Task #78,Task #78 description,19152,2018-02-21 00:41:05,2018-08-28 01:00:52,\N,132,1,4,2
79,Task #79,Task #79 description,71868,2017-08-31 22:30:14,2018-09-20 13:53:16,\N,126,16,1,2
80,Task #80,Task #80 description,44768,2018-07-28 05:02:52,2018-08-10 22:16:35,\N,104,4,4,5
81,Task #81,Task #81 description,35909,2017-12-16 11:15:14,2018-07-21 18:40:41,\N,91,4,2,4
82,Task #82,Task #82 description,21582,2018-09-18 09:50:06,2018-09-25 21:30:30,\N,12,16,2,2
83,Task #83,Task #83 description,85144,2018-05-08 18:46:01,2018-06-10 13:29:49,\N,152,9,5,4
84,Task #84,Task #84 description,26901,2018-09-19 21:14:30,2018-09-29 16:48:18,\N,159,3,2,2
85,Task #85,Task #85 description,99036,2017-09-24 03:45:56,2017-09-29 10:52:31,\N,134,14,5,4
86,Task #86,Task #86 description,3616,2017-11-20 00:31:03,2017-11-28 13:17:19,\N,102,6,4,2
87,Task #87,Task #87 description,2155,2018-08-03 22:40:58,2018-09-02 20:07:42,\N,93,5,1,4
88,Task #88,Task #88 description,44546,2017-09-22 22:31:59,2018-03-20 20:18:50,\N,35,13,3,2
89,Task #89,Task #89 description,48476,2017-12-10 14:57:13,2018-06-25 06:58:14,\N,76,10,5,4
90,Task #90,Task #90 description,69004,2018-08-20 01:51:30,2018-09-21 11:52:04,\N,198,17,4,4
91,Task #91,Task #91 description,61125,2017-12-10 18:42:58,2018-09-25 05:54:39,\N,181,7,1,1
92,Task #92,Task #92 description,32710,2017-09-25 06:32:00,2018-05-10 20:06:30,\N,31,10,3,3
93,Task #93,Task #93 description,56916,2017-06-19 04:19:06,2017-08-26 00:30:36,\N,61,10,5,5
94,Task #94,Task #94 description,48593,2017-12-22 15:29:37,2018-06-24 19:28:35,\N,76,12,3,5
95,Task #95,Task #95 description,62007,2018-02-20 17:41:14,2018-03-09 00:50:53,\N,79,6,4,5
96,Task #96,Task #96 description,29653,2018-01-23 17:22:55,2018-07-19 22:16:34,\N,48,10,2,2
97,Task #97,Task #97 description,36866,2018-07-06 15:29:14,2018-08-30 10:35:18,\N,40,18,1,4
98,Task #98,Task #98 description,7872,2017-10-21 09:02:15,2018-06-20 16:20:37,\N,178,3,4,3
99,Task #99,Task #99 description,89766,2018-08-03 23:22:16,2018-08-21 17:44:44,\N,190,4,3,5
100,Task #100,Task #100 description,5448,2018-04-02 15:55:08,2018-07-06 01:22:49,\N,194,4,4,1
101,Task #101,Task #101 description,3573,2018-07-07 02:34:55,2018-09-23 10:07:31,\N,11,2,5,4
102,Task #102,Task #102 description,40916,2018-07-06 02:55:19,2018-09-04 01:20:22,\N,81,16,4,4
103,Task #103,Task #103 description,65182,2018-03-27 21:27:39,2018-09-24 12:02:52,\N,69,10,3,2
104,Task #104,Task #104 description,56243,2017-11-10 15:37:08,2018-01-31 03:41:12,\N,40,4,4,1
105,Task #105,Task #105 description,46935,2017-09-05 01:44:50,2017-11-28 18:13:15,\N,60,1,3,5
106,Task #106,Task #106 description,3807,2017-12-11 08:46:12,2018-01-12 20:54:14,\N,41,4,2,4
107,Task #107,Task #107 description,74251,2018-08-28 02:18:52,2018-09-22 12:01:24,\N,194,1,5,3
108,Task #108,Task #108 description,6608,2017-08-15 16:41:24,2018-08-30 13:33:19,\N,176,7,4,5
109,Task #109,Task #109 description,2482,2018-02-14 22:21:31,2018-08-01 21:06:40,\N,127,15,4,3
110,Task #110,Task #110 description,12502,2018-03-25 20:20:24,2018-08-28 15:28:43,\N,101,18,1,5
111,Task #111,Task #111 description,37985,2018-03-20 15:26:53,2018-09-27 19:29:52,\N,6,13,3,3
112,Task #112,Task #112 description,39167,2018-05-28 21:25:00,2018-08-28 12:08:57,\N,20,15,4,4
113,Task #113,Task #113 description,58225,2017-11-19 23:02:11,2017-12-18 05:36:55,\N,6,8,1,3
114,Task #114,Task #114 description,38397,2018-05-12 20:11:49,2018-09-23 22:35:38,\N,173,2,4,4
115,Task #115,Task #115 description,20357,2017-06-06 05:28:20,2018-05-25 05:10:03,\N,133,20,3,4
116,Task #116,Task #116 description,79826,2017-08-21 06:36:43,2017-12-27 08:58:46,\N,199,2,4,4
117,Task #117,Task #117 description,52931,2017-11-26 13:51:49,2018-01-26 18:49:00,\N,58,9,5,1
118,Task #118,Task #118 description,92580,2018-08-14 06:59:01,2018-09-26 08:13:20,\N,118,14,4,1
119,Task #119,Task #119 description,76936,2017-10-17 01:05:21,2018-09-30 23:04:01,\N,31,1,4,2
120,Task #120,Task #120 description,49987,2018-07-21 04:10:40,2018-09-04 04:13:40,\N,33,13,4,5
121,Task #121,Task #121 description,63130,2018-09-24 15:32:55,2018-09-29 22:52:34,\N,108,7,2,4
122,Task #122,Task #122 description,85675,2018-05-06 16:57:07,2018-08-14 17:51:01,\N,9,6,5,5
123,Task #123,Task #123 description,28568,2018-06-24 07:11:28,2018-06-26 12:35:59,\N,70,9,1,1
124,Task #124,Task #124 description,96491,2018-02-07 02:25:37,2018-06-03 01:13:08,\N,1,14,1,4
125,Task #125,Task #125 description,23266,2017-08-17 22:39:35,2017-11-19 20:19:37,\N,14,19,2,1
126,Task #126,Task #126 description,28304,2017-07-17 11:35:05,2018-03-28 19:40:19,\N,3,17,5,4
127,Task #127,Task #127 description,98153,2017-07-19 00:29:54,2018-07-30 10:05:01,\N,135,7,1,3
128,Task #128,Task #128 description,82584,2018-06-13 23:08:44,2018-06-20 21:12:45,\N,10,14,4,3
129,Task #129,Task #129 description,81211,2018-01-22 01:57:03,2018-07-12 01:36:11,\N,89,9,2,5
130,Task #130,Task #130 description,87492,2017-11-13 06:29:04,2018-09-22 10:22:23,\N,99,2,3,3
131,Task #131,Task #131 description,71542,2018-07-08 23:08:53,2018-08-01 19:49:58,\N,155,16,2,2
132,Task #132,Task #132 description,85191,2018-07-26 16:33:09,2018-09-09 21:16:52,\N,197,16,2,2
133,Task #133,Task #133 description,53673,2018-08-08 01:21:50,2018-09-28 20:14:26,\N,34,4,2,2
134,Task #134,Task #134 description,7167,2018-02-21 21:51:38,2018-06-09 10:21:55,\N,62,7,4,5
135,Task #135,Task #135 description,27045,2018-09-26 16:58:40,2018-09-29 07:18:53,\N,90,5,5,1
136,Task #136,Task #136 description,85859,2017-09-21 03:17:47,2018-03-29 18:18:17,\N,60,18,2,4
137,Task #137,Task #137 description,18999,2017-09-12 07:05:28,2017-09-17 22:32:18,\N,25,10,4,1
138,Task #138,Task #138 description,16106,2018-04-12 18:46:39,2018-08-07 07:30:48,\N,118,12,2,4
139,Task #139,Task #139 description,87861,2018-03-22 04:51:01,2018-06-19 10:20:43,\N,72,14,3,4
140,Task #140,Task #140 description,60829,2018-01-23 15:29:14,2018-03-04 11:21:37,\N,105,19,5,3
141,Task #141,Task #141 description,55894,2018-08-04 23:18:55,2018-08-15 09:47:15,\N,78,11,5,3
142,Task #142,Task #142 description,37746,2018-01-19 11:33:00,2018-01-27 05:10:30,\N,66,16,1,5
143,Task #143,Task #143 description,83839,2018-05-05 02:46:19,2018-07-09 00:40:54,\N,124,19,2,2
144,Task #144,Task #144 description,9298,2017-08-21 22:16:57,2018-06-15 17:09:10,\N,25,7,4,3
145,Task #145,Task #145 description,8997,2017-09-28 04:20:09,2018-08-30 14:18:31,\N,90,6,3,1
146,Task #146,Task #146 description,54860,2017-12-16 07:32:41,2018-02-08 14:00:57,\N,128,14,2,1
147,Task #147,Task #147 description,18001,2018-01-18 23:59:37,2018-05-11 11:36:50,\N,4,1,2,1
148,Task #148,Task #148 description,79513,2017-10-30 12:20:55,2018-06-23 17:05:04,\N,75,1,3,1
149,Task #149,Task #149 description,16220,2017-10-05 05:56:59,2018-07-31 10:54:49,\N,77,3,1,3
150,Task #150,Task #150 description,83567,2018-02-22 09:42:12,2018-08-01 18:43:43,\N,127,2,5,4
151,Task #151,Task #151 description,85082,2017-10-30 00:17:41,2018-05-26 18:14:22,\N,154,11,1,2
152,Task #152,Task #152 description,17020,2017-11-17 13:45:36,2018-06-13 04:06:33,\N,17,7,2,2
153,Task #153,Task #153 description,64137,2017-08-23 01:44:25,2017-12-12 22:28:53,\N,36,19,2,2
154,Task #154,Task #154 description,72691,2017-10-15 00:42:28,2018-01-11 17:54:52,\N,90,8,5,5
155,Task #155,Task #155 description,29894,2018-07-05 08:28:15,2018-08-17 15:46:56,\N,131,8,2,1
156,Task #156,Task #156 description,76436,2017-12-01 21:23:05,2018-07-26 10:47:48,\N,168,13,1,2
157,Task #157,Task #157 description,83651,2017-07-09 13:51:48,2018-03-04 08:01:19,\N,112,14,5,2
158,Task #158,Task #158 description,2000,2018-04-25 05:55:55,2018-08-15 13:45:39,\N,84,13,1,1
159,Task #159,Task #159 description,36977,2018-04-23 00:52:02,2018-08-25 17:29:18,\N,191,17,2,4
160,Task #160,Task #160 description,97070,2017-06-20 19:41:15,2017-11-01 18:57:06,\N,26,3,5,1
161,Task #161,Task #161 description,93755,2017-08-24 01:33:48,2017-12-01 08:16:44,\N,74,12,2,4
162,Task #162,Task #162 description,83072,2018-05-22 08:26:08,2018-07-02 18:04:18,\N,135,5,5,1
163,Task #163,Task #163 description,39453,2017-10-22 10:32:46,2018-09-01 10:50:29,\N,138,17,4,1
164,Task #164,Task #164 description,59690,2018-06-01 09:47:08,2018-07-04 17:13:45,\N,39,9,1,5
165,Task #165,Task #165 description,56166,2018-01-24 15:00:14,2018-06-07 19:46:32,\N,26,12,2,5
166,Task #166,Task #166 description,87044,2017-07-04 15:36:13,2017-07-22 18:37:19,\N,12,6,5,5
167,Task #167,Task #167 description,90338,2018-01-02 08:19:51,2018-09-18 01:06:01,\N,14,15,1,3
168,Task #168,Task #168 description,17036,2017-12-05 06:08:40,2018-01-26 14:30:11,\N,31,20,4,3
169,Task #169,Task #169 description,88464,2018-01-01 00:17:28,2018-02-02 01:07:37,\N,35,2,4,5
170,Task #170,Task #170 description,26347,2018-02-18 21:37:40,2018-02-26 07:02:51,\N,132,17,3,5
171,Task #171,Task #171 description,32391,2017-09-14 09:39:09,2018-02-12 11:06:24,\N,190,6,5,5
172,Task #172,Task #172 description,2961,2018-06-23 14:14:37,2018-08-01 16:36:39,\N,47,3,4,4
173,Task #173,Task #173 description,99694,2018-06-12 00:43:16,2018-07-30 05:48:49,\N,62,20,1,3
174,Task #174,Task #174 description,44985,2018-02-20 13:30:09,2018-07-23 16:01:49,\N,6,16,3,1
175,Task #175,Task #175 description,77611,2017-10-19 18:05:01,2018-09-27 07:49:21,\N,128,19,3,5
176,Task #176,Task #176 description,947,2018-08-26 17:49:31,2018-09-11 22:34:46,\N,130,18,2,3
177,Task #177,Task #177 description,87837,2017-07-17 09:41:17,2018-08-04 19:38:27,\N,146,8,5,3
178,Task #178,Task #178 description,41663,2018-01-31 14:42:08,2018-09-24 05:07:53,\N,56,13,1,4
179,Task #179,Task #179 description,35929,2018-04-04 19:00:48,2018-04-20 04:08:49,\N,20,4,1,1
180,Task #180,Task #180 description,75431,2017-08-30 10:47:44,2018-08-18 17:09:27,\N,133,17,4,3
181,Task #181,Task #181 description,97441,2017-10-20 02:28:07,2018-09-11 18:13:54,\N,14,10,1,4
182,Task #182,Task #182 description,70195,2018-05-25 13:44:36,2018-08-17 20:04:24,\N,40,5,4,5
183,Task #183,Task #183 description,23834,2018-04-27 01:24:49,2018-08-14 20:02:40,\N,53,3,2,4
184,Task #184,Task #184 description,65234,2017-08-18 17:34:49,2018-04-23 21:19:05,\N,10,3,3,1
185,Task #185,Task #185 description,44063,2018-09-22 05:34:53,2018-09-23 01:03:06,\N,4,12,5,3
186,Task #186,Task #186 description,9916,2018-07-12 15:52:27,2018-08-15 09:13:57,\N,9,3,2,1
187,Task #187,Task #187 description,82056,2017-07-25 13:22:30,2017-08-29 22:11:33,\N,136,7,1,3
188,Task #188,Task #188 description,63010,2017-06-06 00:23:59,2017-12-22 13:49:18,\N,11,14,1,5
189,Task #189,Task #189 description,33217,2018-06-19 13:21:06,2018-08-01 18:53:28,\N,144,14,2,5
190,Task #190,Task #190 description,52740,2018-07-02 02:35:52,2018-07-30 22:31:52,\N,103,16,5,4
191,Task #191,Task #191 description,24557,2018-01-06 19:21:37,2018-02-06 20:56:50,\N,48,15,3,5
192,Task #192,Task #192 description,88133,2018-01-20 09:21:49,2018-05-12 23:49:33,\N,96,2,5,3
193,Task #193,Task #193 description,64391,2017-09-18 09:17:37,2018-06-20 06:05:58,\N,91,8,2,2
194,Task #194,Task #194 description,64879,2018-06-06 03:15:00,2018-08-02 15:08:24,\N,147,10,2,5
195,Task #195,Task #195 description,72716,2017-08-27 20:50:23,2018-06-24 04:08:42,\N,190,6,5,5
196,Task #196,Task #196 description,12507,2017-06-09 22:21:54,2017-07-27 05:05:02,\N,130,1,4,3
197,Task #197,Task #197 description,44992,2017-08-15 15:09:52,2018-07-18 14:03:15,\N,190,8,5,3
198,Task #198,Task #198 description,54740,2018-01-05 13:25:06,2018-04-17 08:46:02,\N,43,19,1,2
199,Task #199,Task #199 description,36669,2017-06-20 13:56:40,2018-04-05 05:32:42,\N,200,5,2,3
200,Task #200,Task #200 description,43119,2018-09-17 15:08:18,2018-09-30 06:30:18,\N,108,6,2,4
201,Task #201,Task #201 description,6821,2018-09-02 07:24:25,2018-09-11 06:38:19,\N,47,10,5,2
202,Task #202,Task #202 description,27002,2018-03-03 19:24:27,2018-04-24 15:36:30,\N,48,16,2,3
203,Task #203,Task #203 description,70201,2017-09-19 22:29:22,2018-01-21 19:52:15,\N,108,6,1,5
204,Task #204,Task #204 description,87180,2017-10-27 18:33:12,2018-05-29 05:13:23,\N,113,2,1,5
205,Task #205,Task #205 description,25561,2018-05-05 02:12:27,2018-06-03 02:35:13,\N,161,10,2,2
206,Task #206,Task #206 description,56954,2018-01-15 13:19:25,2018-06-27 08:59:20,\N,109,1,2,2
207,Task #207,Task #207 description,17151,2017-08-21 16:29:18,2017-09-19 10:39:53,\N,84,16,5,2
208,Task #208,Task #208 description,93621,2017-09-18 22:11:31,2018-07-17 05:43:36,\N,133,1,3,3
209,Task #209,Task #209 description,67242,2018-08-29 00:55:41,2018-09-19 16:40:54,\N,193,19,3,2
210,Task #210,Task #210 description,31487,2018-07-31 04:16:42,2018-08-07 08:08:25,\N,90,5,3,2
211,Task #211,Task #211 description,57842,2018-03-28 01:06:27,2018-09-24 18:37:48,\N,21,18,4,5
212,Task #212,Task #212 description,2374,2017-09-14 06:10:27,2018-06-19 06:56:29,\N,158,6,2,5
213,Task #213,Task #213 description,370,2018-09-08 19:29:45,2018-09-24 02:33:58,\N,142,6,5,3
214,Task #214,Task #214 description,23162,2018-04-13 11:45:08,2018-07-17 08:47:39,\N,196,17,3,3
215,Task #215,Task #215 description,39248,2018-09-23 05:13:44,2018-09-29 16:20:17,\N,112,13,5,3
216,Task #216,Task #216 description,32647,2018-01-18 21:33:40,2018-08-24 03:00:54,\N,114,1,2,4
217,Task #217,Task #217 description,80518,2018-04-04 23:13:49,2018-04-15 00:19:49,\N,77,17,3,1
218,Task #218,Task #218 description,78199,2018-03-26 07:52:59,2018-04-12 17:56:52,\N,97,17,3,1
219,Task #219,Task #219 description,65822,2018-07-23 22:36:45,2018-07-27 21:41:02,\N,25,2,2,3
220,Task #220,Task #220 description,22016,2017-10-08 03:31:21,2017-10-17 01:11:25,\N,138,8,3,4
221,Task #221,Task #221 description,51850,2018-08-30 21:21:28,2018-09-03 06:40:19,\N,180,8,3,3
222,Task #222,Task #222 description,54241,2018-08-15 22:10:51,2018-09-12 09:14:14,\N,21,12,5,3
223,Task #223,Task #223 description,50534,2017-12-31 16:29:12,2018-01-29 15:15:25,\N,46,13,5,1
224,Task #224,Task #224 description,13189,2018-07-04 05:55:51,2018-07-27 23:48:58,\N,114,17,3,5
225,Task #225,Task #225 description,60954,2018-07-16 00:32:54,2018-07-30 19:21:41,\N,144,4,1,5
226,Task #226,Task #226 description,95943,2017-07-28 20:11:11,2018-06-23 05:09:19,\N,56,7,2,3
227,Task #227,Task #227 description,24099,2018-01-09 18:31:03,2018-02-09 04:11:33,\N,188,6,5,4
228,Task #228,Task #228 description,4014,2017-09-30 23:36:20,2018-06-22 18:03:47,\N,77,11,5,2
229,Task #229,Task #229 description,27634,2018-03-26 12:22:19,2018-08-23 09:31:27,\N,42,2,1,2
230,Task #230,Task #230 description,71093,2017-06-24 11:50:34,2017-11-16 13:55:36,\N,75,8,1,3
231,Task #231,Task #231 description,58534,2018-06-06 07:53:48,2018-07-27 14:44:32,\N,19,12,5,3
232,Task #232,Task #232 description,68673,2017-11-10 09:30:16,2018-06-18 23:22:22,\N,67,5,3,1
233,Task #233,Task #233 description,29116,2018-02-11 02:32:43,2018-04-14 17:42:22,\N,109,18,3,1
234,Task #234,Task #234 description,15638,2018-08-27 14:22:53,2018-09-05 16:31:31,\N,87,14,2,1
235,Task #235,Task #235 description,22928,2018-05-07 23:42:33,2018-05-30 22:17:47,\N,89,5,5,1
236,Task #236,Task #236 description,19278,2017-12-12 08:54:07,2017-12-26 04:20:03,\N,137,1,3,1
237,Task #237,Task #237 description,9505,2017-09-08 00:03:44,2017-11-02 12:54:26,\N,93,10,1,5
238,Task #238,Task #238 description,66631,2018-07-29 23:33:54,2018-09-10 15:54:33,\N,34,13,5,3
239,Task #239,Task #239 description,49664,2017-08-27 12:31:33,2018-04-05 08:03:59,\N,77,19,4,1
240,Task #240,Task #240 description,16672,2017-10-27 19:21:46,2018-08-17 03:15:33,\N,15,9,2,4
241,Task #241,Task #241 description,40931,2018-08-08 05:22:21,2018-08-14 12:37:36,\N,112,4,5,1
242,Task #242,Task #242 description,72662,2018-05-07 03:51:13,2018-07-23 04:49:57,\N,77,4,3,2
243,Task #243,Task #243 description,31591,2017-12-29 19:20:48,2018-04-06 04:50:10,\N,144,15,5,2
244,Task #244,Task #244 description,65322,2017-12-15 18:10:52,2018-08-15 05:05:36,\N,109,15,2,3
245,Task #245,Task #245 description,96268,2017-12-03 20:04:54,2018-06-27 15:41:19,\N,75,20,1,1
246,Task #246,Task #246 description,77280,2018-05-22 02:49:28,2018-08-26 06:20:38,\N,172,5,3,2
247,Task #247,Task #247 description,77324,2018-08-05 21:02:14,2018-09-19 15:25:49,\N,147,13,3,4
248,Task #248,Task #248 description,65039,2017-06-10 07:35:02,2018-07-17 22:48:15,\N,198,18,2,5
249,Task #249,Task #249 description,16763,2018-07-23 15:39:01,2018-09-14 10:45:59,\N,155,8,3,2
250,Task #250,Task #250 description,64633,2017-10-23 02:21:28,2017-11-14 02:33:10,\N,2,19,1,1
251,Task #251,Task #251 description,28921,2017-12-21 05:04:26,2018-06-16 07:33:16,\N,167,17,2,3
252,Task #252,Task #252 description,18963,2017-06-19 19:39:15,2018-05-10 22:05:02,\N,168,6,5,4
253,Task #253,Task #253 description,16456,2017-08-12 02:47:59,2018-05-25 20:53:05,\N,148,9,1,5
254,Task #254,Task #254 description,51944,2017-08-02 06:36:25,2018-05-12 12:41:12,\N,82,16,4,1
255,Task #255,Task #255 description,85218,2018-01-05 19:32:38,2018-07-14 17:49:08,\N,163,1,3,3
256,Task #256,Task #256 description,12718,2017-11-05 08:43:26,2018-08-05 16:43:10,\N,41,9,3,1
257,Task #257,Task #257 description,46002,2018-07-23 11:28:36,2018-08-28 20:43:30,\N,118,20,4,1
