id,seller_id,buyer_id,dttm,sum,task_id
44,169,143,2017-08-27 11:06:50,38163,3744
45,88,8,2018-03-14 01:58:46,70119,3457
46,182,111,2017-10-21 15:03:18,11458,1351
47,188,66,2017-09-29 23:44:16,48097,3323
48,163,31,2018-08-25 03:17:32,79333,6713
49,77,117,2018-07-10 05:12:42,21950,8045
50,34,28,2017-08-10 19:23:12,30395,5612
51,103,84,2018-08-14 20:11:11,94204,5227
52,85,79,2017-06-05 23:41:21,42595,2756
53,188,148,2018-09-16 09:39:05,13947,8826
54,105,48,2017-10-18 11:54:51,6839,4420
55,6,62,2017-10-26 13:35:32,44229,5855
56,40,70,2017-12-30 09:00:52,90428,3504
57,74,94,2017-06-20 09:54:51,25586,3801
58,120,107,2017-06-14 17:02:03,83501,863
59,3,20,2018-01-10 15:40:47,14785,9161
60,84,197,2017-07-15 04:38:06,18689,8116
61,36,64,2018-06-02 04:21:12,51122,271
62,182,68,2018-01-08 00:12:04,38060,3740
63,108,97,2017-09-20 16:59:26,1475,1342
64,178,56,2017-09-03 12:55:31,35790,8695
65,171,96,2017-11-21 11:03:26,29628,482
66,126,89,2018-08-19 09:50:22,92442,2643
67,104,91,2018-05-02 18:32:13,80491,404
68,51,2,2018-08-03 01:19:46,35129,9761
69,98,86,2017-07-21 13:02:32,75345,825
70,149,181,2018-05-17 21:31:33,87158,1727
71,131,139,2017-08-14 03:36:29,26434,9354
72,63,165,2017-06-15 00:11:15,39629,875
73,74,106,2018-05-15 00:21:07,48970,408
74,82,166,2018-01-20 21:55:28,23298,9780
75,111,4,2017-10-23 07:31:25,66913,2528
76,77,104,2018-03-17 04:58:37,18542,2755
77,15,110,2017-11-18 02:58:17,94779,9854
78,192,74,2018-05-02 15:42:07,90131,9928
79,97,98,2018-03-05 00:12:52,92713,9186
80,98,67,2017-08-08 05:00:15,85374,6088
81,11,80,2018-03-21 22:33:26,3031,5348
82,76,89,2018-01-01 00:28:55,12008,5410
83,114,91,2018-07-04 06:28:39,61702,6410
84,117,140,2018-05-08 01:11:38,36245,9448
85,75,64,2018-07-26 20:24:53,52196,6902
86,155,187,2017-12-07 03:19:29,64278,2394
87,123,120,2018-09-26 05:03:41,98275,9135
88,165,132,2018-09-24 14:36:26,5694,6639
89,104,199,2018-02-08 16:22:27,49113,4145
90,32,95,2017-12-18 15:56:55,823,8902
91,124,88,2018-02-24 16:30:13,26700,1479
92,166,27,2018-04-07 10:57:44,58494,8630
93,66,20,2018-08-15 23:51:22,30831,3049
94,106,164,2018-08-19 21:55:05,66740,7510
95,173,98,2018-02-03 20:50:10,88450,8505
96,36,200,2017-09-20 16:23:22,97455,834
97,66,110,2017-08-27 16:25:51,46372,9131
98,93,35,2017-12-25 09:30:32,43405,1020
99,56,124,2017-11-15 19:18:50,35101,4008
100,17,60,2017-07-27 09:08:50,13696,511
101,138,191,2018-04-26 03:41:33,20918,8570
102,111,153,2017-08-29 07:59:57,16938,4354
103,38,42,2018-03-31 12:13:39,67959,7740
104,19,99,2017-08-02 07:36:50,47142,2247
105,109,109,2018-02-24 04:09:22,82601,5638
106,158,35,2018-09-09 23:25:16,33568,7645
107,150,162,2018-07-22 01:10:46,12527,544
108,158,136,2017-08-07 16:41:50,51468,6522
109,98,8,2017-09-15 18:31:11,37947,7767
110,50,4,2018-08-21 03:18:18,70184,4508
111,100,55,2018-05-19 03:31:10,69365,9907
112,45,14,2018-04-15 19:28:21,32271,7710
113,16,29,2017-12-09 06:43:29,59075,3131
114,74,67,2017-11-25 18:07:34,21198,2723
115,113,67,2017-07-07 14:53:31,9457,2744
116,71,161,2017-09-30 09:52:00,66673,6523
117,181,96,2017-07-31 11:52:14,85348,5075
118,165,130,2018-07-09 12:22:03,36601,9600
119,78,42,2017-08-30 13:26:42,81966,3053
120,29,173,2018-03-20 05:16:25,13636,9585
121,32,36,2017-12-30 05:02:05,29386,763
122,64,194,2018-04-19 02:14:47,176,8616
123,67,192,2018-07-16 05:09:30,31861,6429
124,29,188,2017-06-28 03:09:53,23310,9082
125,199,13,2017-11-10 13:09:57,37609,509
126,63,53,2017-11-17 02:13:24,69724,79
127,145,52,2018-08-24 04:58:55,13593,412
128,22,100,2018-07-15 20:27:50,6286,6179
129,164,96,2017-06-03 01:42:41,89868,4403
130,177,36,2018-03-01 20:59:19,33574,383
131,159,23,2018-02-24 08:02:50,37628,272
132,155,78,2018-01-26 22:53:42,73046,3974
133,82,115,2018-09-02 05:09:58,78054,157
134,139,91,2017-07-12 03:44:21,2207,392
135,170,1,2017-07-19 00:53:29,86705,2218
136,78,184,2017-06-03 22:05:48,97440,5632
137,99,111,2018-06-27 16:02:38,80002,798
138,128,75,2018-03-27 10:10:46,37866,3573
139,180,65,2018-08-02 15:49:21,6523,7856
140,81,39,2018-01-14 00:25:32,36873,7433
141,78,158,2017-12-24 14:14:11,96867,8012
142,101,30,2018-06-06 09:42:09,708,3793
143,55,49,2017-09-15 03:09:25,55329,8359
144,62,66,2018-07-30 06:44:07,82300,9958
145,163,113,2017-09-08 09:07:57,77591,7561
146,66,9,2017-07-10 23:00:10,86046,9369
147,22,101,2017-11-29 20:24:20,95349,8193
148,48,8,2018-06-10 19:08:16,53016,8313
149,190,81,2018-05-20 19:11:20,64596,4469
150,26,41,2017-07-05 04:22:19,27663,1886
151,122,30,2018-05-25 23:08:30,10939,3603
152,121,150,2018-09-28 13:35:52,23281,613
153,160,8,2018-05-29 01:42:44,3226,8708
154,10,175,2018-02-27 06:41:43,13800,6113
155,25,166,2017-07-02 22:32:06,15086,429
156,84,17,2017-07-03 17:56:10,63267,4646
157,152,67,2017-06-14 18:44:51,18778,6924
158,64,117,2018-05-22 00:31:13,38594,3625
159,73,75,2018-09-12 22:46:15,14606,7741
160,148,37,2017-06-03 06:52:27,63476,318
161,92,72,2017-12-24 12:14:36,15191,755
162,7,114,2018-08-09 01:33:49,70991,2623
163,102,83,2018-05-31 22:35:19,58146,6622
164,168,191,2017-10-14 12:45:23,73062,8899
165,165,124,2018-08-31 08:49:00,76578,5543
166,59,200,2018-04-09 09:34:05,17408,5351
167,180,2,2017-11-26 11:49:29,81116,7763
168,24,69,2018-06-30 15:53:14,82630,9339
169,161,147,2018-07-04 08:34:49,57500,8478
170,189,3,2017-09-24 06:27:21,96659,201
171,111,44,2018-01-20 03:40:57,32753,4064
172,22,176,2018-04-30 05:29:39,42407,1502
173,133,28,2017-09-08 06:13:12,50778,5099
174,9,35,2018-03-30 20:32:14,6761,6967
175,122,95,2017-11-05 08:52:23,52848,3533
176,82,30,2017-09-22 00:56:28,31758,4457
177,106,198,2018-09-20 05:30:14,58651,2180
178,139,178,2018-03-11 13:50:37,39245,5631
179,84,153,2018-05-13 23:54:10,90098,9984
180,77,34,2018-07-09 07:21:57,39649,2013
181,84,169,2018-05-03 08:14:39,47859,6278
182,105,125,2018-07-05 17:17:32,13337,157
183,44,59,2017-12-05 11:34:39,72850,179
184,108,147,2018-09-07 10:30:48,2379,2800
185,117,31,2018-09-17 22:26:26,92222,2547
186,98,176,2018-03-01 03:56:49,59634,3241
187,109,95,2018-05-29 06:46:16,98750,7123
188,94,2,2017-06-01 09:08:38,77383,9972
189,91,42,2018-04-04 07:11:00,43404,8089
190,198,129,2017-09-02 13:07:56,49519,763
191,124,24,2017-08-28 03:50:19,23713,3814
192,195,144,2017-11-26 10:47:24,10244,8796
193,2,39,2017-07-08 17:53:47,17957,4751
194,172,164,2017-06-29 04:50:34,6800,3636
195,33,30,2018-09-12 17:12:13,83113,2457
196,146,50,2017-08-22 21:22:49,96565,784
197,149,52,2018-03-17 05:00:54,17035,1583
198,5,56,2018-06-08 04:19:43,50945,4930
199,141,148,2018-03-09 05:54:14,72405,547
200,50,168,2017-11-14 08:56:59,17945,6512
201,100,148,2018-06-02 09:11:34,36894,4401
202,72,47,2017-07-20 09:58:38,37574,6119
203,128,163,2017-07-10 01:00:30,25628,2067
204,64,53,2017-09-14 18:07:10,28850,1731
205,123,8,2017-11-27 01:19:07,78627,7051
206,97,192,2018-08-31 10:50:31,52452,7879
207,176,143,2017-10-03 22:23:18,55135,610
208,156,109,2018-09-23 12:10:37,32484,7793
209,120,198,2017-11-25 01:11:32,312,6532
210,58,58,2018-09-19 23:02:08,92821,2955
211,19,100,2017-08-02 02:30:08,79869,8360
212,91,200,2017-10-13 20:52:17,13300,4079
213,58,177,2017-11-10 23:30:42,99470,8682
214,176,25,2018-03-27 22:26:51,1140,4639
215,148,75,2018-01-20 17:51:38,93342,6002
216,185,60,2017-09-15 16:05:16,79532,5743
217,101,147,2018-02-19 18:11:27,20063,1087
218,135,125,2017-09-09 08:07:46,55254,8866
219,57,127,2018-01-22 04:43:01,42737,833
220,46,4,2017-12-23 21:31:06,12257,8018
221,146,105,2018-06-25 15:06:09,98586,2342
222,184,124,2017-10-26 02:45:18,56468,1763
223,139,24,2018-07-27 10:45:36,47199,3548
224,82,164,2017-07-05 22:22:41,20086,1168
225,5,199,2017-09-26 18:03:27,69121,4215
226,17,172,2018-01-22 05:03:57,69749,2474
227,137,182,2018-02-15 20:45:36,19978,498
228,60,121,2018-08-11 01:16:28,5810,7906
229,18,68,2018-06-22 16:41:30,54611,8494
230,35,32,2017-11-25 21:28:56,50019,2
231,98,99,2017-08-20 04:25:13,13124,3782
232,34,117,2017-11-10 17:11:32,73102,1140
233,35,177,2018-08-27 16:01:10,51541,3508
234,151,29,2018-01-31 21:02:02,45586,90
235,51,17,2018-05-28 11:29:09,38828,8605
236,76,52,2018-08-09 03:23:13,27157,1883
237,31,142,2017-06-21 12:14:22,33792,4932
238,113,189,2018-03-14 14:06:14,58601,6658
239,193,21,2018-02-16 15:04:43,77941,9547
240,15,190,2018-07-29 02:10:49,66225,2249
241,19,137,2017-09-15 22:22:42,20364,6634
242,162,65,2018-05-11 06:06:24,59604,1627
243,163,85,2017-07-12 00:54:11,81578,1883
244,38,141,2018-07-26 15:35:33,29590,8805
245,98,181,2017-09-20 23:49:22,66889,4864
246,136,173,2017-08-25 21:51:15,83075,8924
247,122,18,2017-06-17 07:09:28,33715,5192
248,67,124,2017-10-05 17:02:04,50390,3641
249,92,99,2017-07-07 06:15:46,47109,4064
250,65,64,2017-10-22 05:00:39,94116,1684
251,3,47,2017-10-20 22:44:14,66682,2653
252,141,69,2017-09-28 02:38:44,76283,1836
253,21,124,2018-02-20 01:29:16,88656,3464
254,37,145,2017-07-21 18:43:21,98896,4435
255,33,8,2017-10-29 10:26:32,37606,4153
256,114,59,2018-01-07 19:45:33,67042,4709
257,38,51,2017-11-09 00:42:46,56637,2594
258,157,74,2018-05-28 16:59:36,50742,9089
259,40,190,2017-09-01 22:36:02,45772,4512
260,72,2,2018-01-24 02:54:27,83219,311
261,143,93,2017-11-01 14:34:41,3523,6765
262,185,40,2018-03-11 04:32:25,93201,5577
263,169,200,2017-06-25 03:24:20,58765,1289
264,2,180,2018-07-20 16:43:42,5027,6510
265,105,13,2018-01-14 15:00:19,27422,7931
266,145,199,2018-01-24 10:53:07,86389,4703
267,161,148,2018-01-21 08:08:04,34876,8897
268,93,90,2018-08-03 08:30:28,39158,6214
269,125,151,2017-08-05 05:01:25,44026,3028
270,39,152,2017-09-27 18:18:15,80107,2336
271,186,142,2017-11-15 02:36:42,84100,414
272,66,42,2018-02-27 23:05:34,13718,6544
273,43,92,2017-08-28 11:15:22,65151,4287
274,42,25,2017-12-31 07:02:45,97344,934
275,184,115,2018-07-08 15:14:29,96332,8527
276,110,150,2017-06-03 17:01:06,10927,9549
277,120,183,2018-09-28 21:31:25,18827,5316
278,132,63,2017-08-27 07:02:59,38321,5365
279,57,96,2018-02-09 17:55:14,16982,8861
280,132,148,2018-01-19 22:11:04,76299,2409
281,190,170,2017-07-26 09:12:13,96111,9017
282,59,84,2017-09-06 16:50:39,69037,9267
283,18,110,2018-01-28 21:02:57,97305,2129
284,25,68,2018-02-04 03:51:02,22055,1039
285,44,109,2018-06-05 23:28:42,60104,6820
286,21,47,2018-06-11 09:55:12,37186,807
287,85,196,2018-08-17 12:54:31,12292,4686
288,135,21,2017-11-17 00:27:12,95987,2916
289,22,107,2018-08-17 11:45:48,97141,1556
290,182,22,2018-08-25 04:08:30,66676,3025
291,175,39,2018-05-25 00:16:00,14331,4383
292,198,26,2017-12-18 19:46:55,23873,8495
293,43,34,2018-09-27 07:18:21,12129,603
294,146,94,2018-01-04 08:00:45,34300,9268
295,189,58,2017-08-12 15:01:54,33202,3797
296,17,48,2017-10-24 23:15:34,81666,8070
297,31,169,2017-07-11 18:21:19,53625,9441
298,110,95,2017-07-07 17:26:27,32327,9452
299,136,65,2017-10-09 07:47:27,43250,2202
300,195,155,2018-09-11 05:49:46,60228,2273
301,39,144,2017-08-02 21:31:10,45809,667
302,186,78,2017-10-26 02:56:53,90253,5687
303,159,151,2017-08-22 22:22:57,22384,6998
304,125,145,2018-01-06 13:04:19,86439,5821
305,169,77,2018-04-18 22:21:17,26303,4896
306,173,91,2017-08-12 18:49:10,17682,1286
307,151,56,2017-12-28 14:52:08,27401,273
308,123,31,2017-09-01 22:42:39,14262,8663
309,31,69,2018-04-11 10:32:19,98124,2387
310,193,57,2018-07-25 18:38:16,87249,2789
311,16,79,2017-08-09 06:37:25,75090,7197
312,89,144,2018-01-31 03:38:09,13106,3903
313,68,168,2017-11-11 00:47:34,64416,738
314,97,67,2017-08-19 09:04:47,14285,4709
315,10,2,2018-03-27 04:49:04,48888,6783
316,28,149,2018-03-05 23:24:25,12904,2506
317,197,33,2018-09-05 04:15:33,48181,3349
318,198,31,2017-09-03 14:42:55,72134,3692
319,142,5,2017-10-03 12:00:03,71288,3779
320,182,162,2018-07-15 13:40:00,96074,236
321,160,31,2018-07-31 05:31:24,58910,7710
322,74,52,2018-07-26 02:42:45,91067,6197
323,102,45,2018-01-19 14:48:30,70715,1018
324,120,157,2018-01-04 20:29:15,47548,112
325,140,151,2018-04-07 14:13:09,40745,3746
326,158,193,2017-08-18 11:47:55,80457,3177
327,161,69,2018-04-24 11:26:57,7585,908
328,168,130,2018-07-18 23:28:47,2166,9723
329,102,53,2018-04-07 06:09:39,50592,7332
330,111,119,2017-08-20 08:26:55,62958,1981
331,147,123,2017-08-17 19:40:35,31865,6122
332,120,70,2018-02-12 10:07:15,48643,4415
333,184,49,2018-04-17 05:43:27,96082,6927
334,92,162,2017-10-17 05:17:11,4174,1342
335,108,24,2018-01-26 16:42:16,92139,8494
336,62,9,2017-11-15 03:12:06,14457,2552
337,193,106,2018-06-30 22:22:44,48789,7311
338,78,179,2018-04-04 13:57:15,32687,8294
339,12,2,2018-04-29 18:11:53,51689,3728
340,45,25,2017-06-23 02:12:01,46786,3541
341,28,124,2017-12-22 12:00:07,82445,9285
342,127,178,2017-08-09 18:07:15,7033,1829
343,58,150,2018-02-11 19:55:24,20202,4131
344,172,156,2017-08-20 07:13:24,31812,5133
345,55,174,2018-05-26 01:17:33,74279,5853
346,138,86,2017-07-24 06:30:40,57340,7030
347,11,86,2018-02-17 20:15:31,32664,5134
348,132,13,2018-09-13 03:55:43,41166,8083
349,170,73,2017-07-11 08:19:20,143,7546
350,164,187,2017-07-28 15:12:18,26465,6151
351,163,21,2018-06-06 13:54:51,16223,1152
352,5,187,2018-05-07 03:53:27,71253,2790
353,109,103,2017-07-28 18:20:49,30784,3316
354,161,196,2018-02-06 05:19:49,86522,2301
355,52,74,2018-02-20 06:27:21,24951,7776
356,152,128,2017-08-15 07:14:47,40029,6709
357,76,165,2017-09-23 04:52:04,59322,5071
358,175,78,2017-10-08 09:10:50,33244,8632
359,175,74,2017-09-09 10:22:47,57843,6272
360,137,57,2017-11-09 11:10:00,53322,5189
361,99,174,2018-01-11 13:47:32,54935,5683
362,103,90,2017-10-01 11:00:11,55024,9394
363,113,134,2017-08-31 05:29:45,58174,307
364,192,74,2018-07-18 05:44:08,14715,8622
365,175,167,2018-04-22 00:54:40,5215,43
366,8,31,2018-08-14 19:14:49,50448,5275
367,41,66,2018-08-28 14:50:45,85026,8367
368,154,168,2017-12-05 03:12:54,71833,2640
369,189,101,2018-08-19 08:54:06,92600,3151
370,113,26,2017-06-19 10:30:42,34300,6449
371,54,178,2018-06-27 10:28:57,68936,2982
372,149,3,2017-06-23 23:22:15,89871,5917
373,186,150,2018-05-10 19:11:17,53986,6504
374,60,79,2018-04-15 22:11:50,58369,9354
375,87,55,2018-04-18 23:18:40,83649,2034
376,162,60,2018-07-25 03:37:08,50038,1624
377,191,177,2017-06-17 01:16:37,88540,2964
378,20,112,2017-06-16 13:25:07,53222,6250
379,78,125,2017-12-11 17:58:52,741,2221
380,144,67,2017-06-20 18:59:05,64607,2940
381,106,190,2017-12-28 15:50:13,62837,1855
382,53,110,2018-04-24 15:15:57,4328,7771
383,10,176,2018-09-23 01:43:50,84996,1659
384,4,146,2018-07-03 19:05:08,19738,465
385,158,119,2017-10-05 05:01:55,57815,8245
386,133,140,2018-01-30 17:53:50,11468,605
387,29,138,2017-11-16 13:20:01,47233,5516
388,88,51,2017-08-31 04:00:08,69378,617
389,61,4,2017-11-20 15:46:59,15405,8369
390,7,57,2017-07-18 17:58:46,57431,7112
391,27,147,2018-04-23 03:56:16,95944,4668
392,44,34,2017-10-06 11:48:30,78364,7991
393,25,52,2017-06-19 23:57:55,35477,4287
394,194,200,2018-05-03 10:37:09,80676,4389
395,12,42,2018-04-20 05:16:47,98042,1520
396,153,58,2018-09-30 02:04:47,84879,9224
397,99,160,2018-09-22 17:32:15,61581,3252
398,87,177,2018-09-23 19:52:57,56377,2245
399,99,178,2017-06-19 12:39:16,17373,1581
400,55,49,2017-12-07 00:06:04,32892,2823
401,129,74,2018-03-04 01:46:30,82930,1656
402,40,6,2018-02-15 12:44:00,70494,8005
403,4,108,2017-09-27 21:58:31,96180,4276
404,176,71,2017-12-04 05:19:16,47006,9978
405,60,193,2017-08-25 22:26:29,20513,6948
406,26,77,2017-11-20 02:20:25,66232,8584
407,84,47,2018-02-23 01:27:56,86405,378
408,131,94,2018-07-10 16:01:22,94717,7057
409,102,76,2018-07-25 09:25:37,47336,2887
410,181,146,2017-09-14 15:03:48,39327,458
411,2,171,2018-07-06 01:00:37,67167,5387
412,2,159,2018-06-23 03:08:13,30487,3975
413,8,106,2018-01-20 12:37:35,48254,272
414,150,66,2018-07-21 20:28:55,31539,965
415,65,175,2018-04-09 08:28:42,872,9247
416,28,45,2017-06-27 16:30:47,51320,7977
417,27,165,2017-07-09 02:42:04,87820,4234
418,197,6,2017-10-27 08:45:08,39443,9011
419,22,15,2018-04-02 20:29:44,84655,1288
420,157,71,2018-05-14 23:43:41,35312,2258
421,117,187,2018-03-06 12:20:18,91599,6958
422,175,173,2018-07-09 05:31:01,4035,1430
423,161,116,2017-08-06 15:18:40,4000,4451
424,33,74,2017-07-28 06:11:15,9146,7644
425,168,167,2018-03-21 11:36:34,7607,7806
426,126,44,2017-08-20 06:21:50,34743,3814
427,56,127,2018-07-27 12:30:37,54731,1247
428,98,99,2017-11-19 18:59:02,10050,8581
429,124,64,2018-09-05 04:54:21,44434,3123
430,190,67,2017-09-18 13:48:44,21109,5251
431,81,82,2017-09-24 06:38:29,13358,4162
432,150,67,2017-09-28 21:22:21,23898,3201
433,16,76,2018-09-10 00:46:32,91923,8464
434,184,18,2018-02-08 14:23:56,11777,9830
435,90,96,2017-11-13 19:15:03,51942,2742
436,132,186,2017-11-01 13:44:51,3919,7423
437,134,37,2017-10-10 01:45:43,19911,4086
438,102,97,2018-01-22 19:05:53,60145,7328
439,1,6,2018-07-21 13:17:58,36110,1995
440,51,156,2017-09-21 04:23:35,42098,1777
441,170,164,2018-05-05 01:39:00,84864,9793
442,111,169,2017-11-19 12:03:14,66825,7832
443,36,129,2018-02-10 14:14:13,21010,4457
444,24,22,2017-12-26 17:46:25,17251,1977
445,114,175,2018-03-07 10:01:57,75928,5899
446,92,167,2018-01-26 10:11:44,63102,1286
447,174,85,2018-01-29 06:10:41,40577,3978
448,41,127,2017-11-18 10:21:29,12405,7306
449,177,27,2017-12-07 11:24:38,21903,8163
450,109,141,2018-01-26 06:45:56,47425,6095
451,149,37,2017-12-15 10:23:19,50909,1836
452,188,154,2017-12-10 08:08:58,2393,1353
453,144,141,2018-08-17 18:39:30,35077,2850
454,4,150,2018-06-21 14:44:53,86286,7655
455,59,172,2018-03-16 05:51:40,86595,7717
456,73,165,2018-07-15 22:07:28,86753,9854
457,132,73,2017-07-19 06:14:08,41332,2445
458,165,62,2017-10-14 05:26:54,41235,2130
459,121,31,2017-07-23 08:04:37,88303,49
460,194,87,2017-06-14 12:52:18,24054,4625
461,8,165,2018-04-17 16:12:58,29544,4166
462,74,154,2017-12-07 05:19:20,72666,2386
463,166,198,2018-07-20 17:40:53,50304,8279
464,137,120,2017-07-02 05:07:44,48190,8487
465,134,165,2017-12-08 18:05:14,35213,3281
466,82,130,2018-02-04 22:01:07,72500,648
467,14,100,2018-08-06 16:48:10,73755,5477
468,7,43,2018-01-12 10:05:06,52263,1612
469,59,156,2017-10-22 09:58:34,46713,9956
470,185,19,2018-08-22 03:04:06,19641,5273
471,67,30,2018-07-21 02:12:16,96752,2628
472,35,56,2018-05-21 18:50:33,49602,9638
473,152,25,2018-03-16 13:42:09,2280,7561
474,139,49,2018-09-19 11:19:10,54181,2977
475,7,20,2018-03-06 00:07:56,44036,4266
476,18,108,2017-06-02 22:20:35,33357,4458
477,141,126,2018-03-06 01:53:43,95374,9152
478,131,181,2018-05-24 01:43:33,28631,241
479,150,44,2018-08-06 12:26:34,6805,7186
480,183,139,2017-11-07 01:18:39,41981,3866
481,68,90,2017-09-02 21:50:47,65931,9203
482,188,162,2017-10-11 12:12:32,39114,6582
483,87,65,2018-02-01 17:53:09,26889,7501
484,30,135,2017-10-27 13:44:51,11357,4699
485,135,178,2017-11-21 14:28:18,50578,4682
486,49,29,2018-03-11 16:50:04,32306,1497
487,30,70,2018-03-10 15:02:08,68888,947
488,84,25,2018-05-02 17:24:40,23097,2106
489,73,74,2018-05-06 12:45:43,92045,5897
490,9,146,2018-05-15 04:39:45,33624,6250
491,124,172,2018-06-22 02:14:10,58534,3557
492,156,41,2017-10-01 05:10:32,80494,1276
493,147,193,2017-08-05 07:23:14,30041,7081
494,154,47,2017-08-12 09:35:31,24781,5330
495,129,56,2018-01-22 05:42:35,50416,1821
496,52,192,2018-03-11 02:23:01,14919,2932
497,1,3,2018-05-26 03:01:37,23550,1507
498,35,136,2018-02-01 01:01:45,33694,2027
499,53,35,2018-08-08 19:50:55,77589,4785
500,100,48,2017-08-03 22:34:42,74301,583
501,139,97,2017-10-21 07:46:10,11045,3796
502,7,59,2018-04-22 19:48:19,48309,6171
503,73,102,2017-09-05 19:09:18,379,5040
504,119,196,2017-07-05 07:10:39,97194,9645
505,178,84,2017-06-21 07:03:27,83934,2474
506,145,67,2017-10-05 21:09:49,68995,9150
507,106,39,2018-03-20 07:37:20,80177,2740
508,135,12,2017-10-06 09:39:57,38302,6866
509,159,45,2017-09-21 12:35:42,83059,1145
510,150,132,2018-01-29 19:23:08,27596,1414
511,139,111,2018-06-12 09:41:08,17303,6370
512,163,16,2018-06-18 08:31:17,69747,2526
513,3,177,2018-02-07 07:20:33,77897,3163
514,13,122,2018-03-23 13:07:43,89100,9855
515,40,50,2017-12-01 22:24:35,44787,807
516,140,191,2018-02-22 05:18:30,87294,7200
517,114,68,2017-10-30 21:11:00,32713,2934
518,185,64,2017-10-07 09:45:45,86471,5737
519,1,116,2017-09-18 13:59:15,39843,4893
520,64,80,2017-09-06 16:40:37,88263,1433
521,32,129,2018-07-06 20:40:43,55375,7882
522,34,161,2018-03-02 04:30:31,67057,954
523,153,17,2017-09-07 09:09:46,84463,5471
524,105,121,2018-07-02 01:43:21,22602,5238
525,144,147,2018-03-01 23:34:52,90593,7966
526,151,116,2017-10-21 13:23:15,60438,1303
527,36,115,2018-03-12 06:45:35,59537,2361
528,92,7,2018-04-22 13:07:36,93520,7995
529,179,131,2017-11-10 13:02:43,89238,7962
530,67,40,2018-04-02 03:06:30,22386,2822
531,183,161,2018-06-02 10:12:52,17207,2010
532,134,20,2018-07-29 10:06:11,62903,7396
533,10,131,2017-08-29 08:48:50,68837,2612
534,88,125,2017-11-29 13:33:55,95754,2907
535,40,11,2017-11-19 21:54:36,66032,8496
536,66,122,2017-06-06 15:54:46,15296,2321
537,122,38,2018-05-14 08:20:30,68885,2586
538,110,116,2018-07-19 04:02:53,54463,2224
539,181,162,2017-07-11 21:04:21,57978,3029
540,19,145,2018-04-03 04:52:33,71324,2710
541,162,113,2018-03-07 22:37:02,78855,1925
542,87,96,2018-04-22 03:17:32,58202,8240
543,43,128,2017-06-15 23:25:11,18850,1756
544,79,67,2018-07-13 04:28:50,87895,8544
545,31,42,2017-10-29 15:21:44,20382,5788
546,146,162,2018-07-18 21:59:04,61501,7639
547,74,102,2017-08-11 10:26:21,45951,287
548,115,72,2018-02-15 22:18:49,13965,5763
549,50,139,2018-05-09 21:10:05,95410,1273
550,81,14,2018-03-06 10:51:28,95602,6638
551,180,175,2018-03-08 15:03:46,79932,5850
552,59,109,2018-06-10 23:24:24,4880,8259
553,152,108,2017-06-10 14:22:55,21825,3072
554,27,184,2018-06-17 18:42:43,64430,2805
555,19,53,2018-05-16 22:27:31,96860,8648
556,194,119,2017-10-26 20:22:18,43722,2904
557,115,185,2017-09-11 12:10:46,50898,8442
558,192,81,2018-06-18 13:31:13,83394,9238
559,101,38,2018-07-21 04:06:22,63839,445
560,112,6,2017-06-10 00:04:19,8018,3877
561,87,51,2017-12-17 10:50:29,91714,5219
