id,user_id,begin_dttm,end_dttm
63,67,2018-02-08 13:14:22,2018-02-09 07:30:44
64,179,2018-05-01 21:21:39,2018-05-01 22:58:11
65,179,2018-05-05 09:34:47,2018-05-06 00:33:35
66,54,2018-05-10 14:16:47,2018-05-10 22:18:18
67,121,2017-09-08 15:23:54,2017-09-09 05:43:57
68,154,2017-12-08 21:31:12,2017-12-09 05:03:39
69,105,2018-08-04 04:11:39,2018-08-04 05:31:51
70,64,2017-07-04 10:21:33,2017-07-05 00:13:10
71,189,2018-01-25 02:28:57,2018-01-25 14:09:54
72,57,2018-08-25 19:29:28,2018-08-26 03:55:20
73,55,2017-06-21 18:33:22,2017-06-21 22:46:42
74,71,2018-09-18 05:07:06,2018-09-18 07:49:43
75,21,2017-09-02 23:00:10,2017-09-03 03:53:21
76,70,2017-11-18 08:20:17,2017-11-18 10:50:25
77,60,2017-09-28 17:55:09,2017-09-29 06:47:54
78,155,2018-07-10 14:53:05,2018-07-11 03:08:52
79,36,2018-03-13 22:22:50,2018-03-14 09:32:53
80,32,2018-01-01 05:16:43,2018-01-01 07:22:26
81,135,2017-09-04 20:06:44,2017-09-05 02:49:04
82,173,2018-08-06 13:46:29,2018-08-06 20:39:49
83,98,2018-05-11 11:15:58,2018-05-11 12:58:32
84,131,2018-06-14 13:35:30,2018-06-14 16:03:16
85,163,2018-01-08 10:33:17,2018-01-08 12:40:38
86,58,2017-12-16 18:11:38,2017-12-16 19:45:02
87,127,2017-11-05 04:06:10,2017-11-05 16:20:15
88,117,2018-03-01 22:17:26,2018-03-02 00:20:17
89,159,2017-09-11 14:13:57,2017-09-11 15:53:05
90,146,2017-12-03 02:38:17,2017-12-03 02:43:42
91,70,2018-05-28 02:33:02,2018-05-28 06:04:58
92,148,2018-09-18 10:02:12,2018-09-18 12:40:53
93,189,2017-10-16 03:02:02,2017-10-16 04:50:05
94,3,2018-02-23 02:19:36,2018-02-23 09:33:47
95,149,2018-05-30 09:03:47,2018-05-30 09:51:29
96,87,2017-08-28 05:17:22,2017-08-28 08:26:54
97,92,2018-01-13 21:21:20,2018-01-13 22:15:34
98,76,2017-12-13 03:52:49,2017-12-13 07:57:24
99,128,2017-07-19 19:16:46,2017-07-20 04:59:49
100,72,2017-09-05 09:44:44,2017-09-06 02:15:34
101,171,2018-07-05 05:57:45,2018-07-06 01:52:27
102,67,2017-08-14 09:05:04,2017-08-14 23:58:08
103,127,2017-08-22 13:09:54,2017-08-23 02:00:50
104,39,2018-04-14 12:36:56,2018-04-15 03:18:29
105,97,2017-09-11 03:13:01,2017-09-11 08:21:20
106,5,2018-09-27 14:34:22,2018-09-28 00:46:07
107,173,2017-10-20 18:45:18,2017-10-21 02:47:52
108,166,2018-07-07 14:46:24,2018-07-07 22:22:47
109,12,2017-10-07 21:03:01,2017-10-08 00:40:50
110,122,2018-01-16 17:29:32,2018-01-16 18:06:31
111,38,2018-04-17 14:40:12,2018-04-17 17:08:46
112,37,2018-03-14 17:06:59,2018-03-15 02:18:47
113,195,2018-03-13 06:21:54,2018-03-13 07:52:56
114,32,2017-08-14 12:24:11,2017-08-14 16:15:51
115,106,2018-09-07 00:44:51,2018-09-07 02:16:25
116,21,2018-05-30 23:15:46,2018-05-31 17:42:17
117,190,2018-07-30 20:08:51,2018-07-30 21:15:35
118,184,2018-08-01 14:00:57,2018-08-02 02:55:54
119,100,2018-08-09 12:28:46,2018-08-09 12:41:17
120,68,2018-05-14 05:24:37,2018-05-14 05:27:52
121,81,2018-05-24 17:44:59,2018-05-25 02:43:31
122,3,2017-06-23 01:25:04,2017-06-23 02:43:33
123,172,2018-02-02 02:18:07,2018-02-02 06:21:05
124,165,2018-02-09 14:59:32,2018-02-10 03:56:29
125,193,2017-10-08 19:43:17,2017-10-09 01:27:42
126,172,2018-01-18 22:04:49,2018-01-19 08:43:50
127,200,2018-03-11 13:43:58,2018-03-12 09:06:08
128,138,2018-02-26 08:26:19,2018-02-26 08:46:44
129,49,2018-07-25 19:03:23,2018-07-26 05:15:05
130,148,2017-07-09 20:24:53,2017-07-10 06:22:01
131,90,2018-04-17 12:58:51,2018-04-17 18:07:36
132,39,2017-06-27 05:51:45,2017-06-27 20:39:23
133,128,2018-03-22 15:58:57,2018-03-23 03:06:38
134,84,2017-10-22 12:04:39,2017-10-23 09:53:07
135,28,2018-05-26 22:27:55,2018-05-26 22:56:50
136,167,2018-09-07 12:14:38,2018-09-07 15:17:13
137,96,2018-01-03 14:53:38,2018-01-03 18:33:06
138,33,2017-12-05 21:59:30,2017-12-05 23:27:49
139,66,2018-03-18 16:43:11,2018-03-18 21:09:16
140,47,2018-06-13 11:37:40,2018-06-14 02:46:01
141,177,2018-01-08 09:58:28,2018-01-08 10:39:04
142,138,2017-07-29 08:19:23,2017-07-29 12:32:40
143,158,2017-06-20 13:59:15,2017-06-21 00:37:52
144,143,2018-07-15 04:50:30,2018-07-15 06:22:14
145,107,2017-12-19 06:41:23,2017-12-19 10:18:01
146,85,2017-06-04 00:26:55,2017-06-04 03:13:42
147,142,2018-04-06 10:42:26,2018-04-07 01:20:27
148,149,2018-03-19 21:05:07,2018-03-19 21:12:21
149,112,2017-09-12 08:47:41,2017-09-12 23:45:15
150,122,2017-11-22 18:39:43,2017-11-23 02:53:05
151,31,2017-12-12 02:39:39,2017-12-12 05:19:35
152,62,2017-10-08 02:30:23,2017-10-08 03:34:44
153,30,2017-12-28 06:09:24,2017-12-28 06:10:07
154,43,2018-02-23 13:05:49,2018-02-23 22:53:07
155,163,2017-12-23 08:20:49,2017-12-23 08:39:52
156,139,2018-08-04 07:33:48,2018-08-04 08:43:05
157,86,2018-03-25 05:22:03,2018-03-25 07:30:57
158,158,2018-05-19 13:06:25,2018-05-19 17:58:59
159,60,2018-04-27 22:36:57,2018-04-28 22:13:32
160,30,2018-03-13 23:32:07,2018-03-14 08:04:21
161,28,2018-07-01 04:31:18,2018-07-01 11:07:10
162,148,2017-10-14 03:02:06,2017-10-14 06:00:41
163,128,2017-06-18 01:35:14,2017-06-18 21:49:21
164,65,2017-08-30 13:33:57,2017-08-30 16:17:45
165,19,2018-04-03 07:51:39,2018-04-03 15:11:43
166,175,2017-08-27 09:40:02,2017-08-27 21:55:36
167,41,2018-06-02 10:56:50,2018-06-02 10:59:04
168,26,2018-05-07 09:23:20,2018-05-07 10:14:52
169,82,2018-02-03 22:44:02,2018-02-03 23:14:09
170,180,2017-12-08 11:40:00,2017-12-08 14:54:18
171,114,2018-05-24 22:59:28,2018-05-24 23:15:08
172,136,2017-12-24 04:25:59,2017-12-24 04:56:36
173,153,2017-08-04 20:21:16,2017-08-05 02:59:00
174,112,2018-08-09 07:54:13,2018-08-09 14:53:12
175,10,2018-03-17 13:58:29,2018-03-17 14:09:32
176,109,2017-11-18 13:30:08,2017-11-18 16:51:36
177,122,2018-03-31 19:23:04,2018-04-01 02:25:29
178,154,2017-06-10 06:12:57,2017-06-10 07:05:26
179,130,2018-07-07 12:54:05,2018-07-07 13:20:36
180,158,2017-06-11 07:08:50,2017-06-11 09:28:00
181,178,2018-02-16 19:18:09,2018-02-17 09:20:58
182,122,2017-09-04 23:04:25,2017-09-05 02:30:48
183,96,2018-03-13 01:42:14,2018-03-13 21:41:26
184,129,2018-05-01 05:47:06,2018-05-01 12:43:40
185,184,2018-08-18 08:27:48,2018-08-18 13:19:02
186,126,2017-10-18 14:14:34,2017-10-18 15:30:03
187,39,2018-04-11 19:58:53,2018-04-12 08:35:25
188,10,2017-08-01 18:40:40,2017-08-02 13:14:56
189,83,2018-02-20 21:21:12,2018-02-20 21:58:48
190,33,2018-05-31 10:25:01,2018-05-31 14:11:46
191,93,2018-01-12 23:18:33,2018-01-13 04:57:19
192,110,2018-07-31 15:16:31,2018-07-31 17:19:36
193,140,2018-05-23 00:53:57,2018-05-23 08:20:23
194,156,2018-04-18 23:56:39,2018-04-19 07:14:08
195,102,2017-06-10 13:51:13,2017-06-10 14:45:06
196,31,2017-08-04 18:46:56,2017-08-04 20:05:56
197,44,2018-07-13 20:06:25,2018-07-14 07:43:50
198,1,2018-01-09 01:41:12,2018-01-09 05:20:29
199,176,2018-04-10 17:32:53,2018-04-10 19:42:49
200,42,2018-03-19 16:43:46,2018-03-19 22:35:13
201,23,2018-09-14 07:02:12,2018-09-14 07:10:15
202,101,2018-04-19 14:32:06,2018-04-19 15:45:14
203,68,2018-02-17 00:45:40,2018-02-17 09:04:35
204,2,2018-03-07 16:25:56,2018-03-07 17:27:13
205,198,2017-07-06 23:27:33,2017-07-07 01:39:32
206,113,2018-04-05 12:37:57,2018-04-05 14:21:20
207,126,2018-05-10 01:06:31,2018-05-10 06:47:38
208,78,2017-09-14 19:27:25,2017-09-14 20:20:40
209,74,2018-01-26 05:42:30,2018-01-26 05:58:41
210,49,2017-07-12 15:16:07,2017-07-12 15:28:39
211,16,2017-09-09 09:27:25,2017-09-09 13:09:34
212,32,2018-04-20 08:49:22,2018-04-20 17:12:17
213,13,2018-09-01 02:57:23,2018-09-01 08:11:36
214,112,2018-05-03 01:31:41,2018-05-03 14:40:01
215,157,2018-01-26 09:31:03,2018-01-26 16:19:25
216,168,2018-05-25 06:30:50,2018-05-25 08:09:58
217,90,2018-01-17 21:29:43,2018-01-17 21:40:16
218,198,2018-02-27 09:40:07,2018-02-27 09:55:32
219,65,2018-05-01 06:19:09,2018-05-01 09:40:37
220,120,2018-04-01 02:16:57,2018-04-01 04:33:35
221,150,2017-09-07 20:15:25,2017-09-07 21:12:52
222,4,2018-05-29 22:34:07,2018-05-30 06:08:35
223,157,2018-01-22 16:39:40,2018-01-22 17:15:26
224,171,2017-09-20 11:32:38,2017-09-20 17:37:42
225,102,2018-01-11 16:19:34,2018-01-11 17:31:14
226,176,2018-04-05 14:12:38,2018-04-05 16:55:52
227,17,2018-08-20 07:00:34,2018-08-20 22:46:54
228,183,2017-08-27 08:40:50,2017-08-27 17:17:29
229,131,2017-10-07 20:52:34,2017-10-08 13:08:27
230,62,2018-05-18 21:27:15,2018-05-19 04:10:03
231,69,2017-09-29 18:30:34,2017-09-29 23:11:31
232,94,2018-07-09 01:36:29,2018-07-09 12:42:20
233,138,2018-08-30 20:47:55,2018-08-31 01:53:40
234,12,2017-10-30 18:08:35,2017-10-31 14:01:21
235,29,2017-06-16 20:32:13,2017-06-16 23:40:54
236,135,2018-09-09 13:35:37,2018-09-10 02:31:05
237,142,2018-01-24 14:02:07,2018-01-24 19:17:06
238,11,2017-07-22 19:19:16,2017-07-23 07:34:20
239,156,2017-11-15 16:36:35,2017-11-16 02:28:31
240,130,2017-08-22 09:02:49,2017-08-23 01:49:53
241,21,2018-02-21 15:15:43,2018-02-21 16:33:21
242,17,2017-11-13 01:39:59,2017-11-13 14:26:56
243,38,2017-07-31 02:24:05,2017-07-31 10:29:35
244,180,2018-02-20 00:30:11,2018-02-20 00:45:38
245,15,2018-04-28 14:08:10,2018-04-28 20:35:53
246,6,2017-09-21 02:12:17,2017-09-21 11:19:12
247,21,2018-05-18 21:36:31,2018-05-18 22:15:25
248,180,2017-08-08 06:03:21,2017-08-08 17:39:07
249,113,2018-08-24 21:27:48,2018-08-25 08:21:39
250,78,2018-03-10 02:31:35,2018-03-10 10:27:35
251,92,2018-09-13 14:14:15,2018-09-14 08:57:06
252,66,2018-04-13 19:57:00,2018-04-14 06:44:04
253,175,2018-02-13 13:28:48,2018-02-13 21:05:45
254,170,2017-07-22 22:44:09,2017-07-23 05:57:46
255,67,2018-04-09 09:36:53,2018-04-09 16:36:11
256,92,2017-06-29 04:34:27,2017-06-29 05:32:05
257,27,2017-09-04 08:35:38,2017-09-04 11:42:13
258,114,2018-02-24 14:53:37,2018-02-24 14:57:11
259,96,2017-11-10 04:56:47,2017-11-10 18:58:18
260,10,2018-07-17 14:37:40,2018-07-17 19:25:15
261,108,2017-08-30 04:10:38,2017-08-30 08:15:03
262,175,2017-07-03 01:40:33,2017-07-03 15:24:20
263,145,2017-09-05 04:22:21,2017-09-05 11:06:10
264,187,2017-10-06 23:40:47,2017-10-07 12:55:06
265,121,2018-08-01 12:15:24,2018-08-01 14:03:07
266,147,2017-07-15 12:01:27,2017-07-16 08:50:27
267,140,2017-09-16 10:36:03,2017-09-16 13:43:25
268,15,2017-07-12 15:12:21,2017-07-12 15:21:00
269,68,2017-12-19 06:30:42,2017-12-19 07:23:44
270,189,2017-10-08 18:48:27,2017-10-08 18:55:13
271,146,2018-04-14 22:28:44,2018-04-14 22:43:14
272,194,2017-11-29 21:11:58,2017-11-29 22:44:21
273,30,2017-09-25 22:43:59,2017-09-26 12:29:59
274,109,2017-07-11 13:33:43,2017-07-11 18:15:31
275,107,2018-06-30 16:00:37,2018-06-30 21:40:18
276,34,2018-07-09 05:22:28,2018-07-09 14:58:55
277,191,2017-06-15 01:59:25,2017-06-15 09:15:11
278,97,2017-08-01 22:23:39,2017-08-02 05:03:57
279,26,2017-06-17 06:35:25,2017-06-17 06:50:15
280,33,2018-01-29 19:27:26,2018-01-30 03:41:12
281,159,2018-06-01 09:05:21,2018-06-01 10:25:49
282,108,2017-12-03 02:18:09,2017-12-03 10:07:33
283,96,2018-08-09 02:04:02,2018-08-09 10:35:49
284,97,2017-10-12 07:10:28,2017-10-12 12:15:15
285,143,2017-07-01 16:50:46,2017-07-01 17:16:59
286,112,2018-01-24 08:43:17,2018-01-24 09:06:46
287,53,2017-07-14 09:32:27,2017-07-14 09:51:07
288,134,2017-07-29 05:49:08,2017-07-29 10:46:48
289,198,2017-11-29 13:34:05,2017-11-29 13:51:15
290,121,2018-09-09 23:47:17,2018-09-10 01:04:52
291,175,2018-02-28 19:20:12,2018-03-01 00:17:47
292,52,2017-10-18 05:10:29,2017-10-18 20:36:00
293,49,2017-11-27 12:45:21,2017-11-28 02:36:26
294,77,2018-01-30 12:28:37,2018-01-30 15:10:12
295,31,2018-05-09 08:58:42,2018-05-09 11:32:03
296,163,2018-09-25 23:56:37,2018-09-26 05:22:17
297,152,2018-09-22 07:24:41,2018-09-22 10:17:08
298,143,2018-06-27 17:59:17,2018-06-27 19:14:59
299,195,2018-01-11 03:25:18,2018-01-11 04:38:42
300,150,2018-06-20 21:29:13,2018-06-21 07:13:10
301,121,2017-10-15 05:38:07,2017-10-15 18:56:05
302,156,2018-06-29 13:53:49,2018-06-30 00:23:22
303,24,2018-09-26 22:12:52,2018-09-27 01:22:35
304,52,2018-01-08 11:25:10,2018-01-09 00:34:10
305,45,2017-07-26 04:50:51,2017-07-26 10:19:45
306,87,2017-11-19 05:17:25,2017-11-19 08:03:27
307,172,2017-07-22 03:12:26,2017-07-22 04:21:09
308,177,2018-05-11 17:32:14,2018-05-12 05:15:16
309,18,2017-06-03 15:11:41,2017-06-03 18:46:07
310,170,2017-11-19 05:10:51,2017-11-20 02:10:09
311,41,2017-07-02 14:57:14,2017-07-02 17:40:32
312,179,2018-01-31 08:23:50,2018-02-01 00:45:21
313,143,2017-08-24 07:46:41,2017-08-24 08:02:25
314,49,2018-07-10 16:26:26,2018-07-10 23:17:18
315,166,2017-10-10 19:33:44,2017-10-11 00:42:00
316,154,2018-09-16 23:48:50,2018-09-17 18:28:10
317,33,2017-10-12 07:16:43,2017-10-12 13:56:07
318,124,2018-09-25 20:57:42,2018-09-26 02:05:15
319,153,2018-06-26 14:41:31,2018-06-26 19:09:00
320,5,2017-09-29 08:43:20,2017-09-29 10:41:15
321,186,2017-12-04 12:26:53,2017-12-04 22:49:05
322,61,2018-09-10 22:27:23,2018-09-11 01:05:52
323,114,2018-05-31 02:01:50,2018-05-31 05:37:37
324,197,2017-12-14 20:21:57,2017-12-15 17:43:28
325,177,2018-06-02 14:34:24,2018-06-02 14:38:17
326,75,2017-07-24 08:38:16,2017-07-24 10:30:00
327,83,2018-03-25 23:07:30,2018-03-26 18:05:08
328,169,2017-09-24 20:39:17,2017-09-25 05:41:50
329,8,2017-06-13 02:42:28,2017-06-13 15:06:45
330,58,2018-05-21 19:41:02,2018-05-22 06:48:48
331,76,2018-09-03 23:18:34,2018-09-04 21:05:29
332,197,2018-03-03 19:22:38,2018-03-03 19:53:33
333,103,2018-07-13 12:30:35,2018-07-13 23:56:54
334,53,2018-01-21 19:18:16,2018-01-21 19:43:11
335,37,2018-03-10 07:28:00,2018-03-11 01:59:08
336,81,2018-06-30 06:24:21,2018-06-30 10:56:13
337,45,2018-03-21 14:03:14,2018-03-21 14:53:11
338,173,2018-05-22 14:15:20,2018-05-22 17:11:07
339,34,2018-01-27 10:56:10,2018-01-27 13:29:55
340,173,2017-08-15 04:30:55,2017-08-15 15:51:21
341,39,2018-05-02 05:38:00,2018-05-02 06:34:03
342,191,2018-05-27 01:38:49,2018-05-27 13:06:12
343,47,2018-02-04 22:50:19,2018-02-04 23:54:06
344,97,2017-12-16 18:31:53,2017-12-17 08:28:28
345,87,2017-12-27 14:59:22,2017-12-28 02:41:00
346,180,2018-07-29 13:25:14,2018-07-29 14:07:27
347,74,2018-07-13 23:09:03,2018-07-14 11:47:31
348,63,2017-07-28 15:24:50,2017-07-29 09:06:32
349,141,2018-08-03 04:33:08,2018-08-03 05:24:50
350,95,2018-08-10 15:37:56,2018-08-10 18:29:54
351,68,2017-06-21 00:54:08,2017-06-21 08:42:58
352,163,2017-12-21 12:46:32,2017-12-21 13:25:55
353,73,2017-07-01 02:25:47,2017-07-01 02:36:06
354,194,2017-09-14 00:09:19,2017-09-14 04:31:22
355,56,2018-09-05 02:21:51,2018-09-05 12:28:19
356,37,2018-04-25 16:41:25,2018-04-25 18:27:26
357,181,2018-06-23 01:52:07,2018-06-23 05:34:38
358,13,2017-11-23 16:26:24,2017-11-24 00:18:35
359,108,2017-10-06 03:57:31,2017-10-06 03:57:31
360,59,2018-08-30 10:53:06,2018-08-30 15:35:25
361,14,2017-06-16 19:22:04,2017-06-17 02:53:38
362,23,2018-04-18 21:42:11,2018-04-19 03:07:29
363,103,2018-06-23 07:13:01,2018-06-23 12:35:34
364,44,2018-05-08 16:07:12,2018-05-08 16:28:00
365,156,2017-11-11 09:42:30,2017-11-11 22:44:01
366,178,2017-07-21 03:05:15,2017-07-21 03:16:04
367,57,2017-11-11 09:28:05,2017-11-11 09:59:47
368,90,2017-08-30 21:33:42,2017-08-31 01:24:05
369,79,2018-06-16 12:58:41,2018-06-17 00:13:03
370,170,2017-10-03 12:06:59,2017-10-03 12:19:25
371,169,2017-11-30 19:29:15,2017-12-01 07:19:20
372,140,2017-12-31 22:08:22,2018-01-01 04:33:06
373,82,2017-10-15 13:18:12,2017-10-16 09:32:03
374,22,2018-02-04 07:48:18,2018-02-04 21:20:40
375,129,2017-06-01 07:11:41,2017-06-01 07:25:16
376,195,2017-11-12 19:48:00,2017-11-13 07:02:23
377,6,2018-07-02 21:48:45,2018-07-03 10:11:31
378,94,2018-04-24 15:50:52,2018-04-24 17:18:27
379,129,2018-05-04 21:52:27,2018-05-05 03:07:41
380,169,2018-06-08 17:28:04,2018-06-08 18:15:13
381,56,2018-08-30 11:38:27,2018-08-30 13:21:00
382,164,2017-10-11 23:09:46,2017-10-12 16:20:43
383,195,2018-09-12 07:25:50,2018-09-12 12:27:27
384,100,2018-09-28 09:02:14,2018-09-28 14:33:08
385,125,2017-06-15 23:28:59,2017-06-16 04:05:21
386,44,2017-06-13 02:01:55,2017-06-13 11:05:10
387,200,2017-07-22 15:17:52,2017-07-22 21:23:25
388,38,2017-10-31 00:28:32,2017-10-31 00:29:48
389,130,2017-06-11 04:35:23,2017-06-11 15:21:36
390,138,2018-05-10 07:52:31,2018-05-10 13:18:47
391,59,2018-04-20 06:15:12,2018-04-20 12:41:14
392,190,2018-05-10 07:34:27,2018-05-10 08:15:41
393,180,2017-12-12 21:29:41,2017-12-13 07:00:04
394,191,2018-05-24 08:33:51,2018-05-24 12:38:31
395,2,2018-05-08 03:23:44,2018-05-08 04:18:37
396,160,2018-07-16 02:59:12,2018-07-16 08:17:58
397,150,2017-10-17 16:34:43,2017-10-18 04:52:03
398,22,2018-02-21 02:00:18,2018-02-21 08:26:59
399,41,2017-06-21 11:38:49,2017-06-21 12:28:56
400,105,2017-12-29 18:51:05,2017-12-30 06:44:26
401,29,2018-05-12 00:34:46,2018-05-12 04:16:29
402,138,2017-10-29 13:32:48,2017-10-29 23:42:56
403,172,2017-10-05 14:04:47,2017-10-06 00:57:55
404,61,2017-12-28 10:26:29,2017-12-28 20:21:45
405,151,2017-11-15 17:35:33,2017-11-16 03:18:10
406,73,2017-11-29 15:18:44,2017-11-29 18:54:56
407,149,2018-08-07 04:00:32,2018-08-07 07:12:14
408,97,2018-02-13 02:22:34,2018-02-13 03:35:46
409,88,2018-02-05 13:27:36,2018-02-06 01:54:48
410,154,2017-08-26 13:00:51,2017-08-26 16:36:52
411,166,2017-07-02 20:55:24,2017-07-02 22:47:49
412,88,2018-09-14 20:15:08,2018-09-14 22:07:06
413,78,2017-06-17 15:06:00,2017-06-18 00:23:11
414,25,2017-07-24 00:31:48,2017-07-24 00:32:54
415,149,2017-09-12 08:54:29,2017-09-12 15:56:53
416,61,2017-09-27 11:37:27,2017-09-27 14:12:19
417,177,2018-06-18 14:47:46,2018-06-18 21:45:49
418,137,2017-09-05 16:40:09,2017-09-06 00:08:35
419,195,2017-12-29 03:41:03,2017-12-29 04:38:31
420,93,2017-07-27 22:18:21,2017-07-28 12:03:27
421,116,2017-06-17 06:14:30,2017-06-17 08:06:22
422,33,2017-11-29 01:36:57,2017-11-29 10:27:48
423,190,2017-11-27 08:38:46,2017-11-27 13:48:50
424,147,2017-07-22 00:34:45,2017-07-22 09:18:00
425,64,2018-04-23 03:52:01,2018-04-23 05:50:35
426,127,2017-07-13 12:34:07,2017-07-14 06:55:53
427,28,2018-08-22 05:11:12,2018-08-22 05:58:01
428,177,2018-07-14 04:39:49,2018-07-14 13:15:52
429,143,2017-07-30 22:40:45,2017-07-31 05:35:37
430,33,2017-12-11 17:11:36,2017-12-11 21:26:37
431,81,2018-02-15 14:00:12,2018-02-15 19:10:46
432,50,2017-08-03 05:29:30,2017-08-03 11:33:25
433,49,2018-08-18 07:09:01,2018-08-18 17:35:51
434,127,2018-06-16 04:30:43,2018-06-16 04:35:53
435,158,2018-01-28 19:23:25,2018-01-28 20:29:58
436,55,2017-11-29 16:27:11,2017-11-30 06:35:22
437,165,2017-08-23 08:12:52,2017-08-23 14:03:36
438,27,2018-06-14 13:29:56,2018-06-15 07:57:07
439,131,2018-08-05 12:09:14,2018-08-05 20:26:30
440,156,2018-04-22 10:55:29,2018-04-22 23:33:57
441,6,2018-07-03 18:00:58,2018-07-04 00:42:10
442,124,2017-06-07 22:10:00,2017-06-08 08:42:45
443,112,2017-12-22 00:39:46,2017-12-22 20:17:46
444,21,2018-04-20 02:28:29,2018-04-20 18:10:56
445,84,2018-01-16 03:17:44,2018-01-16 07:44:39
446,28,2018-07-01 03:04:07,2018-07-01 09:32:54
447,132,2017-06-12 06:05:23,2017-06-12 21:46:19
448,55,2017-09-02 03:07:21,2017-09-02 04:42:13
449,134,2018-09-28 04:50:52,2018-09-28 12:09:09
450,22,2017-12-14 23:09:19,2017-12-15 10:16:41
451,187,2017-06-12 12:04:36,2017-06-12 15:07:04
452,23,2017-09-10 12:07:08,2017-09-10 19:09:59
453,187,2017-09-24 22:25:48,2017-09-25 01:17:58
454,94,2018-05-30 11:59:11,2018-05-30 11:59:48
455,122,2018-07-05 22:41:12,2018-07-06 00:07:00
456,189,2018-08-14 23:51:48,2018-08-15 08:58:25
457,199,2018-06-11 01:51:26,2018-06-11 15:17:08
458,15,2018-04-21 14:32:40,2018-04-21 15:50:02
459,157,2018-05-27 08:04:34,2018-05-27 08:13:17
460,194,2018-02-26 03:41:12,2018-02-26 09:31:02
461,11,2017-07-10 08:24:29,2017-07-10 13:48:30
462,10,2017-08-13 15:29:15,2017-08-13 22:33:22
463,174,2017-07-27 13:07:52,2017-07-28 07:09:10
464,127,2017-07-13 02:58:14,2017-07-13 14:44:05
465,161,2017-06-16 10:29:43,2017-06-17 00:27:25
